session_id,session_date,channel_grouping,source,medium,campaign,landing_page,device_category,pageviews,sessions,bounce,time_on_site_secs,converted,order_value_gbp,user_id,country,new_vs_returning
sess_457256,2024-04-04,Organic_Search,,cpc,Shopping_Moisturisers,/products/vitamin-c-serum,desktop,1,1,1,,0,,usr_91057,,returning
sess_717113,07/08/2024,direct,tiktok,,Awareness_Serum_Jan24,/,,5,1,0,602,0,,,United States,
sess_942956,11/04/2024,direct,,(none),,/products/spf50-drops,,7,1,0,137,0,,usr_52247,United Kingdom,
sess_703139,2024-10-27,paid_social,unknown,referral,Shopping_Moisturisers,NULL,desktop,1,1,1,,0,,usr_23710,Ireland,returning
sess_519904,08-Oct-2024,paid social,google,,Retargeting_Cart_Feb24,/collections/spf,,1,1,1,,0,,,US,
sess_130271,2024-11-18,PAID_SEARCH,unknown,(none),UGC_Serum_Test,/products/glow-cream,,10,1,0,838,0,,usr_60277,,Returning
sess_389666,31-Jul-2024,paid_social,Google,,Brand_KW_Exact,/collections/spf,Mobile,6,1,0,826,0,,usr_15720,AUS,returning
sess_795928,29-Nov-2024,paid_search,,email,Brand_KW_Exact ,/products/vitamin-c-serum,Desktop,3,1,0,527,0,,usr_53065,,new
sess_896290,2024-09-06,Organic_Search,unknown,organic,,/collections/serums,mobile,14,1,0,,1,82.38,usr_33600,UK,returning
sess_352528,,PAID_SEARCH,unknown,organic,NULL,/products/glow-cream,MOBILE,15,1,0,617,0,,usr_60422,UK,NEW
sess_410244,2024-12-24,EMAIL,(direct),social,NULL,/collections/moisturisers,tablet,5,1,0,42,0,,usr_50492,United Kingdom,
sess_409445,06-16-2024,paid_social,Google,referral,,/landing/summer-sale,tablet,12,1,0,445,0,,usr_98395,,
sess_662636,2024-03-04,,google,,brand_kw_exact,/products/vitamin-c-serum,,8,1,0,397,0,,,United Kingdom,returning
sess_346205,02/10/2024,Organic_Search,Google,,NULL,/landing/summer-sale,mob,3,1,0,417,0,,usr_94518,Australia,New
sess_964226,20/08/2024,EMAIL,META,social,Conversion_NightCream_Q3,/products/hyaluronic-acid,mobile,2,1,0,698,0,,usr_80807,GB,New
sess_475644,2024-05-01,paid_search,bing,organic,Conversion_NightCream_Q3,/collections/serums,Desktop,10,1,0,,0,,usr_72781,Australia,returning
sess_565108,02-07-2024,Organic_Search,META,,LookAlike_SPF_Apr24,/products/vitamin-c-serum,Mobile,15,1,0,102,0,,usr_69441,UK,new
sess_492483,19/03/2024,paid social,META,organic,Generic_Skincare_Broad,/products/spf50-drops,mobile,11,1,0,505,0,,usr_85748,GB,Returning
sess_467121,2024/10/11,EMAIL,,,DPA_AllProducts_Q4,/products/glow-cream,,6,1,0,137,0,,,United Kingdom,NEW
sess_540226,2024-08-20,paid_social,,organic,Generic_Skincare_Broad,/products/retinol-night-cream,Desktop,6,1,0,181,0,,usr_24534,AUS,
sess_514463,11-02-2024,direct,google,none,Brand_KW_Exact,/collections/moisturisers,mob,1,1,1,,1,,usr_20205,Australia,
sess_403578,02-28-2024,paid_search,meta,none,Brand_KW_Exact,/,mob,7,1,0,41,0,,usr_79547,Ireland,
sess_347745,22-Feb-2024,PAID_SEARCH,,CPC,Brand_KW_Exact ,/landing/summer-sale,,3,1,0,282,0,,usr_56129,US,New
sess_972097,2024/05/26,organic_search,,CPC,RLSA_CartAbandoners,/collections/serums,mob,2,1,0,680,0,,usr_15130,AUS,NEW
sess_266457,07-05-2024,paid_search,META,referral,Generic_Skincare_Broad,/products/retinol-night-cream,mob,6,1,0,309,0,,usr_50662,Australia,
sess_424620,2024/10/13,paid_search,pinterest,cpc,retargeting_cart_feb24,/collections/spf,,7,1,0,678,0,,usr_48770,UK,NEW
sess_652108,2024/01/20,paid_social,google,social,brand_kw_exact,/,Mobile,11,1,0,364,0,,usr_71474,United States,NEW
sess_584106,05-24-2024,organic_search,bing,organic,RLSA_CartAbandoners,/products/glow-cream,tablet,13,1,0,411,0,,,United States,new
sess_535050,2024-01-28,,tiktok,referral,DSA_AllProducts,/products/hyaluronic-acid,,,1,0,534,0,,,United States,NEW
sess_738457,2024/09/27,PAID_SEARCH,Google,cpc,Shopping_Moisturisers,/products/hyaluronic-acid,mobile,7,1,0,133,0,,usr_97080,,New
sess_670511,09-16-2024,organic_search,meta,organic,NULL,/products/hyaluronic-acid,mob,13,1,0,539,0,,usr_70899,AUS,Returning
sess_913894,2024-08-22,referral,META,,Retargeting_Cart_Feb24,/collections/moisturisers,mobile,1,1,1,,0,,usr_58237,Australia,returning
sess_295892,11-Sep-2024,EMAIL,tiktok,CPC,,/products/glow-cream,MOBILE,12,1,0,529,0,,usr_56210,Australia,New
sess_768480,26-Jul-2024,organic_search,email,CPC,,/products/hyaluronic-acid,mob,6,1,0,545,0,,usr_79397,Ireland,Returning
sess_127172,2024/04/05,direct,Google,email,Generic_Skincare_Broad,/,desktop,8,1,0,550,0,,usr_97535,UK,new
sess_992717,21/03/2024,paid_social,,,Generic_Skincare_Broad,/landing/new-in,desktop,12,1,0,746,0,,usr_72739,Australia,New
sess_432427,2024/11/24,paid_social,tiktok,cpc,RLSA_CartAbandoners,/products/hyaluronic-acid,Mobile,2,1,0,480,0,,usr_20336,,
sess_659392,2024/02/17,referral,,cpc,Brand_KW_Exact ,/products/glow-cream,MOBILE,9,1,0,676,0,,usr_81509,US,
sess_575575,02-07-2024,referral,tiktok,,,/products/vitamin-c-serum,Mobile,12,1,0,81,0,,usr_90658,GB,NEW
sess_299055,22-Mar-2024,email,bing,referral,Brand_KW_Exact ,/products/glow-cream,desktop,8,1,0,547,0,,usr_62855,Australia,NEW
sess_680096,2024-05-27,paid_social,pinterest,CPC,NULL,/collections/moisturisers,MOBILE,2,1,0,415,0,,usr_53652,,NEW
sess_246570,2024/06/16,paid social,,cpc,Generic_Skincare_Broad,/products/spf50-drops,mobile,15,1,0,647,0,,usr_85821,United Kingdom,Returning
sess_856215,13/11/2024,organic_search,pinterest,social,,/landing/summer-sale,mobile,13,1,0,881,0,,usr_96799,Australia,Returning
sess_659024,24-Jun-2024,email,(direct),social,UGC_Serum_Test,/,,9,1,0,382,0,,usr_45842,,returning
sess_910616,15-Mar-2024,email,META,,Awareness_Serum_Jan24 ,/,Mobile,5,1,0,63,0,,,Australia,returning
sess_908206,11-Mar-2024,PAID_SEARCH,(direct),cpc,Prospecting_Glow_Mar24,/collections/moisturisers,mobile,1,1,1,,0,,usr_33040,United Kingdom,returning
sess_295361,05-28-2024,PAID_SEARCH,META,email,Generic_Skincare_Broad,collections/serums,tablet,15,1,0,,0,,usr_11846,US,Returning
sess_997734,23/11/2024,PAID_SEARCH,,none,,/collections/spf,mobile,15,1,0,435,0,,,US,
sess_837733,08-Jun-2024,paid_social,,,,/collections/eye-care,Mobile,12,1,0,140,0,,usr_78879,Ireland,NEW
sess_969032,07/10/2024,EMAIL,META,cpc,RLSA_CartAbandoners,/products/retinol-night-cream,,15,1,0,537,0,,usr_43352,United States,New
sess_834406,02/02/2024,,unknown,CPC,Brand_KW_Exact,,MOBILE,9,1,0,81,0,,usr_27431,Ireland,NEW
sess_233533,24-Apr-2024,email,bing,social,NULL,/collections/serums,MOBILE,14,1,0,23,0,,usr_41544,UK,returning
sess_837449,25/01/2024,paid social,email,CPC,,/collections/spf,tablet,4,1,0,778,0,,,GB,returning
sess_149161,25/06/2024,paid social,email,email,Retargeting_Cart_Feb24,/products/spf50-drops,tablet,11,1,0,707,0,,usr_20363,Ireland,
sess_154040,17/05/2024,PAID_SEARCH,bing,cpc,BRAND_Awareness_Q2,/products/vitamin-c-serum,,7,1,0,709,1,100.07,usr_52154,Australia,
sess_374267,03/07/2024,referral,google,social,Awareness_Serum_Jan24,,MOBILE,9,1,0,529,0,,usr_84683,AUS,
sess_900441,2024/09/07,PAID_SEARCH,META,cpc,Prospecting_Glow_Mar24,/collections/eye-care,mobile,12,1,0,677,0,,,,New
sess_799143,,direct,,none,retargeting_cart_feb24,/products/vitamin-c-serum,Mobile,15,1,0,-514,0,,usr_45038,UK,returning
sess_355021,2024-12-22,Organic_Search,META,cpc,Prospecting_Glow_Mar24,/products/spf50-drops,mob,4,1,0,327,0,,usr_79226,United States,
sess_598598,2024/05/18,EMAIL,tiktok,,BRAND_Awareness_Q2,collections/serums,MOBILE,1,1,1,,0,,usr_84277,Australia,NEW
sess_892313,2024-03-12,referral,,none,,/products/glow-cream,,13,1,0,725,0,,usr_66603,Australia,NEW
sess_358421,12-31-2024,paid_search,(direct),referral,Prospecting_Glow_Mar24,/landing/summer-sale,MOBILE,2,1,0,104,0,,usr_88240,Ireland,New
sess_506637,13/02/2024,direct,Google,email,Competitor_KW_BMM,collections/serums,Desktop,12,1,0,592,0,,usr_90828,UK,New
sess_448354,2024/11/13,paid_social,,social,retargeting_cart_feb24,/collections/spf,,7,1,0,843,0,,usr_46739,Australia,NEW
sess_672133,04-02-2024,paid_search,pinterest,email,Conversion_NightCream_Q3,/products/hyaluronic-acid,MOBILE,11,1,0,806,0,,usr_62534,Australia,new
sess_951755,2024/10/01,organic_search,unknown,none,,/products/spf50-drops,desktop,10,1,0,673,0,,usr_86089,United States,returning
sess_812565,2024-10-28,paid_search,tiktok,CPC,BRAND_Awareness_Q2,/collections/spf,,12,1,0,532,0,,usr_15856,,new
sess_810032,25/03/2024,Organic_Search,tiktok,none,NULL,/collections/moisturisers,MOBILE,15,1,0,778,0,,usr_18200,,new
sess_219490,05-14-2024,referral,,referral,Shopping_Moisturisers,/products/hyaluronic-acid,Mobile,11,1,0,521,0,,usr_76954,GB,returning
sess_766371,02-Oct-2024,EMAIL,bing,(none),Brand_KW_Exact,/landing/new-in,MOBILE,12,1,0,680,0,,usr_74054,United Kingdom,Returning
sess_388204,2024-04-25,EMAIL,META,CPC,,/,Mobile,9,1,0,315,0,,usr_42444,United Kingdom,new
sess_191208,2024/08/12,,,social,Retargeting_Cart_Feb24,/landing/new-in,tablet,14,1,0,140,0,,usr_45041,,
sess_242175,07-29-2024,email,unknown,email,DPA_AllProducts_Q4,/products/spf50-drops,desktop,15,1,0,80,0,,usr_58374,AUS,New
sess_988319,17-Feb-2024,email,bing,CPC,Awareness_Serum_Jan24 ,/landing/summer-sale,mobile,12,1,0,489,0,,,GB,New
sess_548580,04-13-2024,direct,unknown,email,Brand_KW_Exact ,/,MOBILE,-12,1,0,155,0,,,United States,
sess_829386,2024-06-24,paid_search,(direct),email,Generic_Skincare_Broad,/landing/new-in,tablet,14,1,0,143,0,,usr_29840,AUS,New
sess_246814,2024-03-04,email,,referral,,NULL,Desktop,10,1,0,767,0,,usr_61347,United Kingdom,Returning
sess_218220,03/05/2024,Organic_Search,,,,collections/serums,,8,1,0,673,0,,usr_62163,,returning
sess_186431,23/11/2024,paid social,,organic,Competitor_KW_BMM,NULL,Mobile,9,1,0,570,0,,,GB,
sess_111901,03-24-2024,paid_search,google,none,Prospecting_Glow_Mar24,/products/retinol-night-cream,,8,1,0,375,0,,usr_84302,GB,New
sess_806866,29-Feb-2024,paid_social,google,none,Conversion_NightCream_Q3,/,desktop,4,1,0,778,0,,usr_16903,,returning
sess_587686,05-24-2024,EMAIL,bing,(none),,,Mobile,13,1,0,885,0,,usr_80981,United Kingdom,New
sess_494552,06-06-2024,paid_search,email,,NULL,/,desktop,2,1,0,230,0,,usr_87580,Australia,Returning
sess_373668,10/06/2024,paid_social,,organic,Generic_Skincare_Broad,/products/vitamin-c-serum,Mobile,15,1,0,840,0,,usr_21851,US,
sess_325465,16/06/2024,organic_search,Google,,Generic_Skincare_Broad,collections/serums,mobile,3,1,0,113,0,,usr_35969,Ireland,
sess_714590,2024-05-12,referral,Google,none,Brand_KW_Exact,/products/spf50-drops,tablet,15,1,0,852,0,,usr_68459,United Kingdom,NEW
sess_409440,2024/09/12,email,META,none,NULL,collections/serums,mob,7,1,0,583,0,,,US,returning
sess_904092,2024-10-26,email,pinterest,email,Shopping_Moisturisers,/,mobile,4,1,0,183,0,,usr_28625,United States,returning
sess_284084,2024/09/08,,,email,retargeting_cart_feb24,NULL,,1,1,1,,0,,usr_24538,Ireland,new
sess_794303,21-Jul-2024,,META,CPC,Shopping_Moisturisers,/products/spf50-drops,Desktop,10,1,0,123,0,,usr_85082,United Kingdom,new
sess_741079,04-23-2024,paid_social,meta,CPC,DPA_AllProducts_Q4,/,Desktop,11,1,0,599,0,,usr_67438,GB,returning
sess_468292,06-Oct-2024,paid_search,google,CPC,LookAlike_SPF_Apr24,/products/hyaluronic-acid,tablet,7,1,0,123,0,,usr_22203,AUS,returning
sess_273012,2024/11/06,direct,(direct),cpc,Shopping_Serums,/products/hyaluronic-acid,mobile,15,1,0,464,0,,usr_88671,,Returning
sess_185916,2024/08/30,Organic_Search,pinterest,,Generic_Skincare_Broad,/collections/moisturisers,mobile,14,1,0,138,0,,usr_97574,,NEW
sess_163946,17-Jul-2024,direct,google,,Generic_Skincare_Broad,/products/hyaluronic-acid,,14,1,0,555,0,,,Australia,
sess_962520,2024/11/17,Organic_Search,(direct),cpc,brand_kw_exact,collections/serums,MOBILE,3,1,0,874,0,,usr_23133,UK,NEW
sess_530849,15-May-2024,organic_search,bing,cpc,DPA_AllProducts_Q4,/collections/serums,Desktop,7,1,0,690,1,46.09,,AUS,new
sess_537017,11-05-2024,organic_search,tiktok,,,,tablet,11,1,0,111,0,,,United Kingdom,
sess_486244,25-Aug-2024,EMAIL,bing,referral,,/collections/serums,tablet,9,1,0,426,1,55.99,usr_37096,Australia,
sess_238741,11-27-2024,Organic_Search,bing,social,Generic_Skincare_Broad,/products/retinol-night-cream,,3,1,0,635,0,,usr_59051,US,New
sess_452618,21/05/2024,paid social,google,none,Generic_Skincare_Broad,/collections/serums,Desktop,11,1,0,352,0,,usr_14629,United States,
sess_660605,2024/11/22,paid_social,Google,referral,Shopping_Serums,/products/hyaluronic-acid,mob,13,1,0,507,0,,usr_50250,Ireland,NEW
sess_992562,2024/03/01,paid_search,pinterest,none,Awareness_Serum_Jan24 ,/collections/moisturisers,,8,1,0,74,0,,usr_20592,GB,
sess_386814,2024/04/17,Organic_Search,pinterest,(none),Retargeting_Cart_Feb24,/,mobile,13,1,0,812,0,,usr_12348,United States,new
sess_207697,2024/07/15,referral,unknown,CPC,DSA_AllProducts,/collections/moisturisers,,9,1,0,622,1,114.74 ,,United Kingdom,
sess_660708,2024-11-15,organic_search,pinterest,organic,DSA_AllProducts,/collections/moisturisers,mobile,1,1,1,,0,,usr_45386,GB,New
sess_747703,01/03/2024,referral,(direct),,BRAND_Awareness_Q2,/landing/summer-sale,,5,1,0,136,0,,usr_85255,GB,NEW
sess_858724,21/02/2024,organic_search,bing,CPC,LookAlike_SPF_Apr24,collections/serums,mobile,15,1,0,282,0,,usr_56861,US,New
sess_459370,03-Apr-2024,,tiktok,cpc,retargeting_cart_feb24,,,2,1,0,430,0,,usr_13777,GB,returning
sess_531262,2024/08/13,EMAIL,email,CPC,,/products/vitamin-c-serum,Mobile,1,1,1,,1,84.81,,GB,returning
sess_273438,08-Feb-2024,Organic_Search,meta,(none),DSA_AllProducts,/products/vitamin-c-serum,mobile,13,1,0,523,0,,usr_10022,US,NEW
sess_804091,2024/08/21,PAID_SEARCH,bing,organic,Generic_Skincare_Broad,/collections/spf,Desktop,6,1,0,392,0,,usr_31516,Australia,NEW
sess_226611,2024/07/20,paid_search,Google,,,/,MOBILE,4,1,0,488,0,,usr_33226,GB,Returning
sess_789461,11-03-2024,Organic_Search,(direct),email,brand_kw_exact,/,mob,10,1,0,349,0,,usr_36330,US,
sess_844904,2024/11/28,EMAIL,pinterest,,Competitor_KW_BMM,/landing/new-in,MOBILE,3,1,0,535,0,,usr_31094,US,New
sess_409477,2024/04/14,email,META,,,/collections/eye-care,MOBILE,13,1,0,,0,,usr_50980,,new
sess_918859,2024/08/14,email,email,email,Prospecting_Glow_Mar24,/products/hyaluronic-acid,desktop,14,1,0,250,0,,usr_27048,,returning
sess_262325,2024/01/21,paid social,bing,email,RLSA_CartAbandoners,/landing/new-in,desktop,3,1,0,350,0,,usr_53393,United States,NEW
sess_688602,2024/11/28,EMAIL,google,CPC,LookAlike_SPF_Apr24,/landing/new-in,mobile,1,1,1,,0,,usr_76680,United Kingdom,
sess_638857,12/02/2024,,meta,none,Prospecting_Glow_Mar24,,,2,1,0,191,0,,usr_43018,United States,returning
sess_760830,2024/07/26,paid_search,,organic,RLSA_CartAbandoners,collections/serums,desktop,7,1,0,,0,,,GB,Returning
sess_935474,10-06-2024,organic_search,META,,brand_kw_exact,/landing/new-in,Desktop,5,1,0,669,0,,usr_37752,,Returning
sess_975297,2024/05/09,PAID_SEARCH,meta,organic,BRAND_Awareness_Q2,/landing/summer-sale,mob,4,1,0,137,0,,,United States,returning
sess_791454,06-05-2024,email,unknown,CPC,NULL,/landing/summer-sale,mob,12,1,0,618,0,,usr_94613,US,Returning
sess_305973,14-May-2024,EMAIL,google,,Shopping_Serums,collections/serums,MOBILE,12,1,0,661,1,69.73,,Ireland,
sess_945718,10/11/2024,PAID_SEARCH,google,(none),DPA_AllProducts_Q4,/collections/serums,mob,11,1,0,189,0,,usr_15230,Ireland,NEW
sess_386780,2024-05-14,paid social,email,CPC,NULL,/landing/summer-sale,mobile,10,1,0,577,0,,usr_20104,US,Returning
sess_731264,2024/03/01,paid_social,,cpc,Shopping_Moisturisers,/collections/eye-care,tablet,11,1,0,255,0,,usr_63143,United Kingdom,
sess_397223,13/02/2024,EMAIL,tiktok,,NULL,,desktop,4,1,0,479,0,,usr_36522,,Returning
sess_286040,31/08/2024,EMAIL,google,none,NULL,/,Mobile,15,1,0,649,0,,usr_55943,UK,new
sess_343807,2024/02/12,paid social,google,social,,/products/vitamin-c-serum,Desktop,5,1,0,632,0,,usr_90200,Australia,returning
sess_684646,04-Sep-2024,paid_social,unknown,social,,/products/vitamin-c-serum,MOBILE,3,1,0,399,0,,usr_99727,GB,
sess_195513,,Organic_Search,pinterest,,,collections/serums,,8,1,0,634,0,,usr_77915,United Kingdom,NEW
,11-10-2024,Organic_Search,pinterest,social,NULL,,Desktop,3,1,0,,0,,usr_55544,US,Returning
sess_523579,2024-10-21,paid social,meta,referral,Shopping_Moisturisers,/landing/summer-sale,,1,1,1,,0,,usr_70142,United Kingdom,new
sess_764442,,direct,meta,CPC,retargeting_cart_feb24,/collections/spf,Desktop,11,1,0,738,0,,usr_34925,United States,Returning
sess_316823,27-Apr-2024,,META,(none),,,Desktop,4,1,0,874,0,,usr_46735,GB,returning
sess_667036,17-Jan-2024,referral,google,none,,NULL,Desktop,9,1,0,375,0,,usr_57962,Australia,
sess_482812,07-24-2024,email,pinterest,email,Awareness_Serum_Jan24,/landing/summer-sale,mob,5,1,0,481,0,,,UK,New
sess_366642,08-31-2024,,meta,social,Brand_KW_Exact ,/products/hyaluronic-acid,Desktop,14,1,0,664,0,,usr_68580,Australia,returning
sess_251884,2024-03-26,paid_social,bing,referral,brand_kw_exact,/products/glow-cream,mob,11,1,0,847,0,,usr_31930,United Kingdom,Returning
sess_880009,2024-12-24,organic_search,META,organic,brand_kw_exact,/collections/eye-care,MOBILE,12,1,0,101,0,,,,
sess_474175,2024/06/15,paid_social,Google,none,Brand_KW_Exact ,,Mobile,14,1,0,507,0,,usr_44053,,Returning
sess_591989,09-30-2024,organic_search,(direct),cpc,BRAND_Awareness_Q2,/landing/new-in,Mobile,1,1,1,,0,,usr_59592,UK,Returning
sess_938817,2024-11-09,paid_social,meta,(none),brand_kw_exact,,mobile,13,1,0,730,0,,usr_46977,AUS,Returning
sess_115440,2024-09-09,referral,tiktok,none,DSA_AllProducts,,MOBILE,4,1,0,370,0,,usr_42631,AUS,New
sess_871041,2024-02-18,paid social,(direct),referral,Retargeting_Cart_Feb24,/collections/moisturisers,Mobile,9,1,0,701,0,,usr_46188,Australia,New
sess_709303,2024/12/19,referral,unknown,CPC,,/products/vitamin-c-serum,Mobile,8,1,0,724,0,,usr_55523,AUS,New
sess_475565,09/03/2024,paid social,Google,,RLSA_CartAbandoners,/products/glow-cream,mob,5,1,0,60,0,,usr_34318,Ireland,Returning
sess_166418,12-03-2024,Organic_Search,meta,,Awareness_Serum_Jan24 ,/collections/serums,,9,1,0,858,0,,usr_60934,,NEW
sess_484150,2024-04-23,PAID_SEARCH,google,none,,/products/retinol-night-cream,mobile,10,1,0,755,0,,usr_38298,UK,Returning
sess_298663,2024-04-08,,unknown,none,retargeting_cart_feb24,/landing/new-in,mob,9,1,0,692,0,,usr_56179,,new
sess_532373,11-20-2024,referral,Google,cpc,UGC_Serum_Test,/landing/new-in,,7,1,0,865,0,,,US,NEW
sess_699378,03-20-2024,direct,pinterest,social,NULL,/landing/summer-sale,desktop,2,1,0,58,0,,usr_85534,United Kingdom,new
sess_956835,,,(direct),CPC,Awareness_Serum_Jan24 ,/,mobile,7,1,0,143,0,,usr_88005,UK,new
sess_255202,08-Mar-2024,paid_social,Google,(none),Shopping_Moisturisers,/products/retinol-night-cream,Mobile,6,1,0,104,0,,usr_99749,UK,returning
sess_465227,07-Apr-2024,EMAIL,google,social,NULL,/,desktop,6,1,0,372,0,,usr_29356,,
sess_419939,2024/08/18,PAID_SEARCH,tiktok,cpc,Generic_Skincare_Broad,/products/glow-cream,Desktop,8,1,0,43,0,,usr_70943,United Kingdom,
sess_993473,03-Dec-2024,paid social,meta,(none),Shopping_Serums,/collections/moisturisers,,6,1,0,,0,,usr_79391,AUS,
sess_817552,06-29-2024,Organic_Search,google,referral,,/collections/eye-care,MOBILE,6,1,0,660,0,,usr_99983,United States,returning
sess_734775,17/06/2024,direct,META,none,,,tablet,8,1,0,575,0,,usr_25517,GB,new
sess_534152,29/07/2024,paid_search,google,referral,brand_kw_exact,/collections/moisturisers,mobile,5,1,0,473,0,,usr_75840,AUS,new
sess_506281,08-Sep-2024,email,email,organic,Generic_Skincare_Broad,/landing/summer-sale,,8,1,0,160,0,,usr_89682,Australia,returning
sess_878533,2024-10-19,email,pinterest,cpc,RLSA_CartAbandoners,/collections/serums,,10,1,0,569,0,,usr_70469,US,New
sess_249149,2024/08/25,paid_social,bing,email,,,Desktop,14,1,0,681,0,,usr_31495,UK,
sess_480573,13-Feb-2024,organic_search,bing,email,Awareness_Serum_Jan24 ,/,Desktop,9,1,0,744,0,,usr_92110,GB,New
sess_365406,07-Jan-2024,PAID_SEARCH,meta,cpc,Shopping_Serums,/collections/eye-care,Mobile,8,1,0,529,1,,usr_14250,US,
sess_537211,01-Apr-2024,EMAIL,google,referral,Brand_KW_Exact,collections/serums,desktop,3,1,0,708,0,,usr_45968,Australia,
sess_161010,02-25-2024,Organic_Search,bing,CPC,brand_kw_exact,/landing/new-in,,10,1,0,767,0,,usr_48074,United Kingdom,returning
sess_223654,2024-04-16,,(direct),organic,RLSA_CartAbandoners,,mob,13,1,0,650,0,,usr_13816,United States,new
sess_602381,08-30-2024,PAID_SEARCH,pinterest,cpc,UGC_Serum_Test,/collections/eye-care,mobile,13,1,0,56,0,,,GB,New
sess_493468,11-16-2024,referral,(direct),(none),NULL,/products/glow-cream,Desktop,9,1,0,882,0,,usr_36489,AUS,returning
sess_261562,2024/04/07,,email,(none),RLSA_CartAbandoners,/products/glow-cream,desktop,6,1,0,515,0,,usr_96374,United Kingdom,new
sess_320039,13/06/2024,direct,,organic,NULL,/products/glow-cream,Desktop,4,1,0,217,0,,usr_54399,United Kingdom,returning
sess_152906,24-Feb-2024,EMAIL,bing,,,/products/retinol-night-cream,,7,1,0,75,0,,usr_71000,United States,NEW
sess_481104,2024-07-19,PAID_SEARCH,Google,email,NULL,/products/hyaluronic-acid,MOBILE,3,1,0,736,0,,,US,returning
sess_350164,13-Nov-2024,EMAIL,META,email,Prospecting_Glow_Mar24,/,,4,1,0,581,1,39.24,usr_50374,UK,
sess_908812,2024-07-13,paid_social,Google,none,Generic_Skincare_Broad,/collections/eye-care,Desktop,6,1,0,526,0,,usr_66980,Ireland,
sess_635218,,paid social,bing,referral,Conversion_NightCream_Q3,/products/retinol-night-cream,mob,14,1,0,150,0,,usr_37684,AUS,NEW
sess_477789,,PAID_SEARCH,tiktok,none,,/products/spf50-drops,,3,1,0,315,0,,usr_56570,Australia,NEW
