report_date,account_id,account_name,campaign_name,campaign_objective,adset_name,ad_name,placement,impressions,reach,clicks,spend_gbp,ctr_pct,cpc_gbp,conversions,conversion_value_gbp,roas,frequency,currency
09/10/2024,act_4036392,Luminae Beauty Ltd,DPA_AllProducts_Q4,conversions,AdSet_25-34F,Ad_Static_SPF,Audience Network,9604,7048,330,137.71,3.44,0.42,20,651.64,4.73,1.36,gbp
08-Apr-2024,act_3004231,Luminae Beauty Ltd,Retargeting_Cart_Feb24,,AdSet_retarget_visitors,Ad_Video_Glow,Stories,8816,8267,100,253.55,1.13,2.54,,,0.77,1.07,GBP
14/05/2024,act_1534232,Luminae Beauty Ltd,retargeting_cart_feb24,Traffic,AdSet_lookalike_purchasers,Ad_Video_Glow,Feed,17162,-15684,179,,1.04,2.54,10,621.59,1.37,1.09,GBP 
2024/04/29,act_1625355,Luminae Beauty Ltd,NULL,BRAND_AWARENESS,AdSet_18-24F,Ad_UGC_2,,15329,11018,248,169.54,1.62,0.68,16,532.08,3.14,1.39,gbp
08-16-2024,act_6538320,Luminae Beauty Ltd,Conversion_NightCream_Q3,conversions,AdSet_18-24F,Ad_UGC_1,feed,10410,6432,37,44.04,0.36,1.19,0,,,1.62,GBP
2024/04/22,act_9049977,Luminae Beauty Ltd,retargeting_cart_feb24,,AdSet_25-34F,Ad_Video_Glow,Audience Network,-44704,27140,17,489.25,0.04,28.78,2,66.87,0.14,1.65,
16-Oct-2024,act_9811107,Luminae Beauty Ltd,DPA_AllProducts_Q4,,AdSet_retarget_visitors,Ad_UGC_2,Feed,,33932,957,118.0,2.55,0.12,22,1413.16,11.98,1.11,GBP 
20/05/2024,act_8387871,Luminae Beauty Ltd,retargeting_cart_feb24,,AdSet_18-24F,Ad_Carousel_Serum,Reels,38943,,141,64.4,0.36,0.46,2,42.09,0.65,1.34,GBP
23-Apr-2024,act_7130273,Luminae Beauty Ltd,Conversion_NightCream_Q3,CONVERSIONS,AdSet_retarget_visitors,,Audience Network,19320,14735,79,365.48,0.41,4.63,3,171.1,0.47,1.31,gbp
2024/09/11,act_1033940,Luminae Beauty Ltd,Retargeting_Cart_Feb24,,AdSet_lookalike_purchasers,Ad_UGC_1,Stories,31976,31776,1549,100.55,,0.06,,165.78,1.65,1.01,GBP 
08/07/2024,act_8443854,Luminae Beauty Ltd,UGC_Serum_Test,BRAND_AWARENESS,AdSet_lookalike_purchasers,Ad_UGC_1,Stories,,16674,685,348.32,,0.51,36,2640.53,7.58,1.07,GBP
14/04/2024,act_9393686,Luminae Beauty Ltd,Retargeting_Cart_Feb24,conversions,AdSet_retarget_visitors,Ad_UGC_1,Feed,2447,2348,79,248.71,3.23,3.15,7,410.12,1.65$,1.04,gbp
2024-05-15,act_3574997,Luminae Beauty Ltd,BRAND_Awareness_Q2,conversions,AdSet_lookalike_purchasers,Ad_Carousel_Serum,Stories,16593,10524,200,28.05,1.21,0.14,17,497.74,17.74,1.58,GBP 
02-04-2024,act_2529849,Luminae Beauty Ltd,retargeting_cart_feb24,Traffic,AdSet_35-44F,Ad_UGC_2,feed,41371,33728,638,6.42,1.54,0.01,54,,363.53,1.23,GBP
2024-04-04,act_5148556,Luminae Beauty Ltd,retargeting_cart_feb24,BRAND_AWARENESS,AdSet_lookalike_purchasers,Ad_UGC_1,REELS,31623,,355,189.55,1.12,0.53,36,2745.3,,1.34,gbp
02-27-2024,act_6095354,Luminae Beauty Ltd,Prospecting_Glow_Mar24,Traffic,,Ad_Static_SPF,feed,33237,20188,809,140.74,2.43,0.17,27,1263.53,8.98,1.65,GBP
06-28-2024,act_4839629,Luminae Beauty Ltd,Conversion_NightCream_Q3,TRAFFIC,AdSet_25-34F,Ad_Carousel_Serum,Feed,35816,22034,528,198.87,1.47,0.38,60,1105.8,5.56,1.63,
2024-09-18,act_2759726,Luminae Beauty Ltd,DPA_AllProducts_Q4,BRAND_AWARENESS,AdSet_lookalike_purchasers,Ad_Video_Glow,,5829,5606,228,357.11,3.91,1.57,20,422.13,1.18,1.04,
2024-06-06,act_2416730,Luminae Beauty Ltd,BRAND_Awareness_Q2,conversions,AdSet_retarget_visitors,Ad_Carousel_Serum,stories,5893,,46,364.38,0.78,7.92,,132.6,0.36,1.21,GBP 
02/10/2024,act_3594884,Luminae Beauty Ltd,retargeting_cart_feb24,,AdSet_25-34F,Ad_UGC_1,stories,14301,10422,537,262.75,,,29,1887.4,7.18 ,1.37,GBP 
11-15-2024,act_1059008,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,TRAFFIC,AdSet_18-24F,Ad_UGC_2,Audience Network,46647,32694,294,198.78,0.63,0.68,31,2108.75,10.61,1.43,GBP
05-30-2024,act_2964330,Luminae Beauty Ltd,Conversion_NightCream_Q3,TRAFFIC,AdSet_25-34F,Ad_Video_Glow,stories,20718,16051,821,,3.96,0.02,37,3304.97,223.76,1.29,gbp
,act_9820687,Luminae Beauty Ltd,BRAND_Awareness_Q2,BRAND_AWARENESS,AdSet_35-44F,Ad_Carousel_Serum,Stories,44669,31082,799,476.88,1.79,0.6 ,56,3141.62,6.59,1.44,GBP
13/05/2024,act_9462161,Luminae Beauty Ltd,,TRAFFIC,,Ad_Static_SPF,Stories,21015,,312,386.45,1.48,1.24,0,0.0,,1.53,
2024-04-03,act_1296735,Luminae Beauty Ltd,Conversion_NightCream_Q3,,AdSet_25-34F,Ad_UGC_1,Feed,,9442,66,476.6,0.58,7.22,4,153.56,0.32,1.2,GBP 
12-Jan-2024,act_5171827,Luminae Beauty Ltd,LookAlike_SPF_Apr24,conversions,AdSet_35-44F,Ad_Video_Glow,REELS,3109,,88,262.92,2.83,2.99,10,863.39,3.28,1.65 ,GBP
16/06/2024,act_9304605,Luminae Beauty Ltd,Retargeting_Cart_Feb24,CONVERSIONS,AdSet_35-44F,Ad_Carousel_Serum,Feed,48973,32171,1218,450.09,2.49,0.37,138,5617.5,12.48,1.52,
29/06/2024,act_9292319,,UGC_Serum_Test,BRAND_AWARENESS,AdSet_lookalike_purchasers,Ad_Static_SPF,Reels,31142,25807,697,186.28,2.24,0.27,37,1496.42,8.03,1.21,gbp
28/05/2024,act_2140636,Luminae Beauty Ltd,retargeting_cart_feb24,,AdSet_35-44F,Ad_UGC_1,Audience Network,39139,35135,512,261.08,1.31,0.51,61,2034.13,7.79,1.11$,
06-13-2024,act_3128762,Luminae Beauty Ltd,NULL,Traffic,AdSet_18-24F,Ad_UGC_1,stories,35071,32008,220,460.26,0.63,2.09,24,1600.83,3.48%,,GBP
2024/03/05,act_4587017,Luminae Beauty Ltd,BRAND_Awareness_Q2,BRAND_AWARENESS,AdSet_lookalike_purchasers,Ad_Carousel_Serum,REELS,39342,,944,452.42,2.4,0.48,10,705.05,,1.06,
17/01/2024,act_3020448,Luminae Beauty Ltd,Awareness_Serum_Jan24,TRAFFIC,AdSet_retarget_visitors,Ad_Carousel_Serum,feed,46185,31839,1950,391.93,4.22,0.2,87,7517.48,,,GBP
2024/04/17,act_2788506,Luminae Beauty Ltd,retargeting_cart_feb24,,AdSet_retarget_visitors,Ad_Video_Glow,Stories,23425,18985,,342.88,0.21,6.86,2,88.07,0.26,1.23,gbp
24-May-2024,act_9925071,Luminae Beauty Ltd,retargeting_cart_feb24,Traffic,AdSet_retarget_visitors,Ad_Video_Glow,,36728,29712,1341,9.12,3.65,0.01,34,2524.0,276.75,1.24,gbp
04-Jan-2024,,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,conversions,AdSet_35-44F,Ad_Video_Glow,,36982,25606,403,12.36,1.09,0.03,46,1744.38,141.13,1.44,
2024-05-13,act_4686394,Luminae Beauty Ltd,retargeting_cart_feb24,conversions,AdSet_lookalike_purchasers,Ad_Video_Glow,Stories,43166,26139,,321.65,3.78,0.2,,1693.64,5.27,1.65,gbp
17-Jan-2024,act_7334737,Luminae Beauty Ltd,LookAlike_SPF_Apr24,BRAND_AWARENESS,AdSet_retarget_visitors,Ad_UGC_2,,4060,3794,42,53.0,1.03,1.26,5,238.09,4.49,1.07,
2024/08/02,act_2370937,Luminae Beauty Ltd,Retargeting_Cart_Feb24,TRAFFIC,AdSet_lookalike_purchasers,Ad_Static_SPF,feed,26717,20935,,125.71,1.8,0.26,11,826.02,6.57,1.28,gbp
12/04/2024,act_6066353,Luminae Beauty Ltd,retargeting_cart_feb24,,AdSet_25-34F,Ad_Video_Glow,feed,,26482,518,134.05,1.52,0.26,26,775.51,5.79,1.29,gbp
17-Mar-2024,act_4576926,Luminae Beauty Ltd,,CONVERSIONS,AdSet_25-34F,Ad_Carousel_Serum,REELS,24854,16565,347,424.62,,1.22,18,1156.83,2.72,1.5,GBP
27-Aug-2024,act_5498517,,Awareness_Serum_Jan24 ,CONVERSIONS,AdSet_retarget_visitors,Ad_UGC_2,stories,45491,38527,242,358.19,0.53,1.48,7,488.92,1.36,1.18$,GBP
2024-06-25,act_6224230,Luminae Beauty Ltd,Prospecting_Glow_Mar24,CONVERSIONS,AdSet_18-24F,Ad_Video_Glow,stories,30180,19538,1409,141.66,4.67,,142,,58.93,1.54,
19/04/2024,act_4728141,Luminae Beauty Ltd,DPA_AllProducts_Q4,Traffic,AdSet_lookalike_purchasers,Ad_UGC_2,REELS,21615,19315,580,337.02,2.68,0.58,34,978.49,2.9,1.12,GBP
22/09/2024,act_9504500,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,CONVERSIONS,AdSet_18-24F,Ad_Static_SPF,feed,35477,26534,981,33.6,2.77,0.03,60,1523.39,45.34,1.34,gbp
22-Jan-2024,act_1362249,Luminae Beauty Ltd,NULL,CONVERSIONS,AdSet_lookalike_purchasers,Ad_Static_SPF,Audience Network,15373,9844,666,198.42,4.33%,0.3,78,4608.83,23.23,1.56,gbp
27/12/2024,act_3952620,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,TRAFFIC,AdSet_25-34F,Ad_UGC_2,Reels,36668,25421,1376,378.9,3.75,0.28,158,4470.31,11.8,,gbp
10-28-2024,act_6387138,Luminae Beauty Ltd,,Traffic,AdSet_18-24F,Ad_UGC_1,Stories,45071,27830,541,311.45,1.2,0.58,8,279.0,0.9,1.62,
2024/04/11,act_5841075,Luminae Beauty Ltd,BRAND_Awareness_Q2,,AdSet_retarget_visitors,Ad_Carousel_Serum,Feed,46570,29988,1667,39.73,3.58,0.02,72,3882.54,97.72,,GBP
13/10/2024,act_9350305,Luminae Beauty Ltd,DPA_AllProducts_Q4,CONVERSIONS,AdSet_35-44F,Ad_Carousel_Serum,Audience Network,39767,25089,1634,261.35,4.11,0.16,1,52.62,0.2,1.59,GBP
06/01/2024,act_5023747,Luminae Beauty Ltd,Awareness_Serum_Jan24,TRAFFIC,AdSet_35-44F,Ad_Carousel_Serum,REELS,19646,16642,666,123.81,3.39,0.19,56,4109.68,33.19,1.18,GBP
10-27-2024,act_2063067,,NULL,BRAND_AWARENESS,AdSet_25-34F,Ad_UGC_1,Stories,32770,28608,761,397.58,2.32,0.52,80,1947.52,,1.15,GBP 
14-Feb-2024,act_4534714,Luminae Beauty Ltd,Conversion_NightCream_Q3,conversions,AdSet_25-34F,Ad_Video_Glow,feed,31611,23213,1542,458.67,4.88$,0.3,32,2436.01,5.31,1.36,GBP 
01-28-2024,act_2606160,Luminae Beauty Ltd,retargeting_cart_feb24,TRAFFIC,AdSet_35-44F,Ad_Carousel_Serum,Reels,33796,23018,1681,267.75,4.97,0.16,129,11566.13,43.2,1.47,gbp
2024/08/08,act_5630385,Luminae Beauty Ltd,,BRAND_AWARENESS,AdSet_lookalike_purchasers,Ad_Video_Glow,Reels,8720,8665,318,80.24,3.65,0.25,-34,2236.43,27.87,1.01,gbp
08/07/2024,act_7202735,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,,AdSet_18-24F,Ad_Carousel_Serum,Audience Network,,4461,64,429.93,,6.72,4,186.11,0.43,1.07,GBP 
29/11/2024,act_7302031,Luminae Beauty Ltd,,CONVERSIONS,,Ad_Static_SPF,,16298,12403,641,394.15,3.93,0.61,25,633.12,1.61,1.31,GBP
2024/03/22,act_5982017,Luminae Beauty Ltd,NULL,BRAND_AWARENESS,AdSet_retarget_visitors,Ad_UGC_1,REELS,28930,27777,-646,94.72,2.23,0.15%,38,2285.69,,1.04,GBP
17/10/2024,act_5010515,Luminae Beauty Ltd,LookAlike_SPF_Apr24,BRAND_AWARENESS,AdSet_18-24F,Ad_Carousel_Serum,Feed,37354,,1057,415.72%,2.83,0.39,49,2704.21,6.5,1.11,gbp
13/05/2024,act_3440861,Luminae Beauty Ltd,Retargeting_Cart_Feb24,CONVERSIONS,AdSet_lookalike_purchasers,Ad_UGC_2,Feed,49831,41515,1971,486.37,3.96,0.25,5,375.4,,1.2,GBP
20-Mar-2024,act_5907376,Luminae Beauty Ltd,retargeting_cart_feb24,Traffic,AdSet_35-44F,Ad_Carousel_Serum,Audience Network,49789,40102,529,243.32,1.06,0.46,33,1162.02,,1.24,
2024-09-30,act_5781895,Luminae Beauty Ltd,LookAlike_SPF_Apr24,conversions,AdSet_25-34F,Ad_Video_Glow,stories,42531,30244,280,362.38,0.66,1.29,,1308.49,3.61,1.41,gbp
2024-08-07,act_1001773,Luminae Beauty Ltd,Prospecting_Glow_Mar24,conversions,AdSet_lookalike_purchasers,Ad_UGC_1,Reels,,26973,748,72.63,2.71,0.1,46,3155.47,,1.02,GBP 
2024-01-11,act_3971556,Luminae Beauty Ltd,Conversion_NightCream_Q3,BRAND_AWARENESS,AdSet_retarget_visitors,Ad_UGC_1,stories,-17363,14834,185,386.88,,2.09,12,403.45,1.04,1.17,gbp
13-Nov-2024,act_3240311,Luminae Beauty Ltd,Retargeting_Cart_Feb24,Traffic,AdSet_25-34F,Ad_UGC_1,Audience Network,47077,33614,1386,434.58,2.94,0.31,26,1856.78%,4.27,1.4,
08-21-2024,act_5105175,Luminae Beauty Ltd,Awareness_Serum_Jan24,,AdSet_lookalike_purchasers,Ad_Video_Glow,Audience Network,39703,26076,217,349.51,0.55,1.61,14,653.97,1.87,1.52,GBP 
29-Feb-2024,act_9779870,Luminae Beauty Ltd,Awareness_Serum_Jan24,conversions,AdSet_35-44F,Ad_UGC_2,Audience Network,3637,3487,100,423.2,2.75,4.23,9,461.55,1.09,1.04,
,act_8597181,,Awareness_Serum_Jan24,BRAND_AWARENESS,AdSet_25-34F,Ad_Video_Glow,Feed,25776,17563,,432.48,1.87,0.9,30,1055.55,2.44,1.47,
21/01/2024,act_6048215,Luminae Beauty Ltd,Retargeting_Cart_Feb24,conversions,AdSet_lookalike_purchasers,Ad_Static_SPF,REELS,11712,8101,575,322.19,4.91,0.56,3,85.27,0.26,,
10-21-2024,act_5393349,Luminae Beauty Ltd,,,AdSet_35-44F,Ad_Video_Glow,Reels,37056,36679,758,226.65,2.05,0.3,37,1112.17,4.91,,GBP
2024-10-18,act_5193728,Luminae Beauty Ltd,Prospecting_Glow_Mar24,TRAFFIC,AdSet_35-44F,,feed,31368,29773,972,203.85,3.1,0.21,5,108.86,0.53,1.05,GBP
07-18-2024,act_1438173,Luminae Beauty Ltd,Prospecting_Glow_Mar24,Traffic,AdSet_lookalike_purchasers,Ad_UGC_1,Audience Network,21438,16471,861,359.63,4.02,0.42,53,,5.87,1.3,gbp
29-Aug-2024,act_5259826,Luminae Beauty Ltd,Awareness_Serum_Jan24,conversions,AdSet_retarget_visitors,Ad_Static_SPF,Feed,5183,3350,25,132.64,0.48,5.31,3,74.77,0.56,1.55,gbp
08-24-2024,act_2516667,Luminae Beauty Ltd,LookAlike_SPF_Apr24,,AdSet_retarget_visitors,Ad_Static_SPF,Feed,48469,45917,,105.52,4.19,0.05,0,0.0,,1.06,GBP 
17-Feb-2024,act_4681872,Luminae Beauty Ltd,NULL,CONVERSIONS,AdSet_lookalike_purchasers,Ad_Video_Glow,Reels,4668,3378,82,221.79,1.76,2.7,6,310.48,1.4,1.38,gbp
19/07/2024,act_7440528,Luminae Beauty Ltd,,BRAND_AWARENESS,AdSet_retarget_visitors,Ad_UGC_2,,37525,35786,,453.06,,0.26,84,3100.87,6.84,1.05,GBP
2024/07/08,act_7436397,Luminae Beauty Ltd,Retargeting_Cart_Feb24,CONVERSIONS,AdSet_25-34F,Ad_UGC_1,feed,8156,7695,324,223.6,3.97,0.69,9,509.96,,1.06,gbp
26-Feb-2024,act_2754121,Luminae Beauty Ltd,Prospecting_Glow_Mar24,,AdSet_retarget_visitors,Ad_Static_SPF,Audience Network,22401,21172,793,405.61,3.54,0.51,91,5264.97,12.98,,GBP
2024/05/03,act_5841588,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,CONVERSIONS,AdSet_25-34F,Ad_UGC_2,Feed,38479,31525,1616,276.58$,4.2,0.17,135,7677.64,27.76,1.22,
25/06/2024,act_8530876,Luminae Beauty Ltd,LookAlike_SPF_Apr24,TRAFFIC,AdSet_25-34F,Ad_UGC_2,feed,9746,6406,298,249.13,3.06,0.84,22,766.77,3.08 ,1.52,
19/12/2024,act_9087054,Luminae Beauty Ltd,NULL,CONVERSIONS,AdSet_35-44F,Ad_Static_SPF,,5123,,,416.83,2.13%,3.82,0,0.0,,1.48,gbp
2024/06/07,act_1265724,Luminae Beauty Ltd,Prospecting_Glow_Mar24,conversions,AdSet_lookalike_purchasers,Ad_UGC_1,feed,13606,10924,419,39.33,3.08,0.09,23,1778.83,,1.25,GBP
04/06/2024,act_8992228,Luminae Beauty Ltd,UGC_Serum_Test,conversions,AdSet_25-34F,Ad_UGC_1,stories,25430,22952,241,464.38,0.95,1.93,28,2445.85,5.27,1.11,GBP
2024/02/14,act_5841671,Luminae Beauty Ltd,UGC_Serum_Test,TRAFFIC,AdSet_35-44F,Ad_Carousel_Serum,REELS,16684,10053,246,73.43,1.47,0.3,29,1343.48,18.3,1.66,GBP 
30-Jan-2024,act_3600015,Luminae Beauty Ltd,Awareness_Serum_Jan24,BRAND_AWARENESS,AdSet_18-24F,Ad_Static_SPF,REELS,-19985,14355,160,136.84,0.8,0.86,4,271.56,1.98,1.39,GBP 
2024-09-18,act_3241880,Luminae Beauty Ltd,BRAND_Awareness_Q2,TRAFFIC,AdSet_retarget_visitors,Ad_UGC_2,feed,20940,20617,,92.2,0.75,0.59,13,955.08,10.36,1.02,GBP 
16/01/2024,act_9983616,Luminae Beauty Ltd,Retargeting_Cart_Feb24,CONVERSIONS,AdSet_18-24F,Ad_Video_Glow,,25300,-16396,337,141.57,1.33,0.42,24,1032.33,7.29,1.54,
04-13-2024,act_7029604,Luminae Beauty Ltd,BRAND_Awareness_Q2,Traffic,AdSet_retarget_visitors,Ad_Video_Glow,Feed,,19175,613,,2.79,0.7,8,237.7,0.55,1.15,GBP
2024/05/06,act_7551170,Luminae Beauty Ltd,Awareness_Serum_Jan24,Traffic,AdSet_25-34F,Ad_Carousel_Serum,REELS,11187,10718,168,473.72,1.5,2.82,1,30.14,,1.04,
23/11/2024,act_5940042,Luminae Beauty Ltd,Conversion_NightCream_Q3,BRAND_AWARENESS,AdSet_lookalike_purchasers,Ad_Carousel_Serum,stories,20528,16948,301,297.2,1.47,0.99,29,1985.54,6.68,1.21,
19/08/2024,act_9325224,Luminae Beauty Ltd,UGC_Serum_Test,conversions,AdSet_retarget_visitors,Ad_Static_SPF,Reels,19660,12029,953,272.9,4.85,0.29,19,966.34,3.54,1.63,GBP 
2024/08/20,act_8865507,Luminae Beauty Ltd,retargeting_cart_feb24,CONVERSIONS,AdSet_18-24F,Ad_Video_Glow,,13410,10850,576,433.02,4.3,0.75,54,3760.02,8.68,1.24,
26-Apr-2024,act_6774930,Luminae Beauty Ltd,retargeting_cart_feb24,TRAFFIC,AdSet_35-44F,Ad_Carousel_Serum,Reels,17946,11649,49,292.57,0.27,5.97,5,296.74,1.01,1.54,GBP
2024-09-21,act_1749662,Luminae Beauty Ltd,UGC_Serum_Test,conversions,AdSet_35-44F,Ad_UGC_2,feed,11924,11918,321,100.76,2.69,0.31,32,2754.93,,1.0,
2024/03/25,act_7712180,Luminae Beauty Ltd,UGC_Serum_Test,TRAFFIC,,Ad_UGC_1,stories,36456,22693,689,452.81,1.89,0.66,4,146.98,0.32,1.61,
2024-08-29,act_2351744,Luminae Beauty Ltd,Prospecting_Glow_Mar24,BRAND_AWARENESS,AdSet_35-44F,Ad_UGC_1,Feed,42575,29505,122,479.78,0.29,3.93,12,638.45,1.33,1.44 ,
2024/10/19,act_2204950,Luminae Beauty Ltd,,Traffic,AdSet_lookalike_purchasers,Ad_UGC_1,feed,25466,19542,493,303.13,1.94,0.61,31,1787.04,5.9,1.3,
09-Apr-2024,act_3517242,Luminae Beauty Ltd,Awareness_Serum_Jan24,BRAND_AWARENESS,AdSet_18-24F,Ad_UGC_2,Feed,9322,6984,421,55.66,4.52,0.13,32,2203.55,39.59,1.33,
2024-07-29,act_5167075,Luminae Beauty Ltd,Retargeting_Cart_Feb24,,AdSet_retarget_visitors,Ad_Video_Glow,feed,32696,21377,390,96.95,1.19,0.25,,547.65,5.65,1.53,gbp
2024-10-14,act_2918772,Luminae Beauty Ltd,retargeting_cart_feb24,CONVERSIONS,AdSet_18-24F,Ad_Carousel_Serum,Feed,11511,-9670,366,402.81,3.18,1.1,37,982.54,2.44,1.19,GBP 
10/06/2024,act_1030805,Luminae Beauty Ltd,NULL,,AdSet_18-24F,Ad_Carousel_Serum,Reels,31837,,62,248.79,0.19,4.01,7,,2.21,,
15/04/2024,act_3048605,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,BRAND_AWARENESS,AdSet_25-34F,Ad_Carousel_Serum,Reels,12731,12378,29,383.29,0.23,13.22,,0.0,,1.03,GBP
04-Jan-2024,act_8662907,Luminae Beauty Ltd,Conversion_NightCream_Q3,BRAND_AWARENESS,AdSet_25-34F,Ad_UGC_2,Stories,1420,1321,57,469.55,4.01,8.24,4,194.95,0.42,1.07,GBP
2024-06-18,act_8444472,,DPA_AllProducts_Q4,BRAND_AWARENESS,AdSet_25-34F,Ad_UGC_2,REELS,4665,4040,12,265.13,0.26,22.09,0,0.0,,1.15,
2024/02/27,act_9058734,Luminae Beauty Ltd,BRAND_Awareness_Q2,TRAFFIC,AdSet_retarget_visitors,Ad_Static_SPF,Stories,1257,,52,468.27,4.14,9.01,3,86.65,0.19,1.08,GBP
30-May-2024,act_5973412,Luminae Beauty Ltd,LookAlike_SPF_Apr24,CONVERSIONS,AdSet_lookalike_purchasers,Ad_Static_SPF,Audience Network,11244,10097,337,84.9,3.0,0.25,29,771.19,9.08,1.11,GBP
11/09/2024,act_1898234,Luminae Beauty Ltd,Conversion_NightCream_Q3,Traffic,AdSet_35-44F,Ad_Carousel_Serum,REELS,36651,32753,1067,397.07,2.91,0.37,127,9713.84,24.46,1.12,gbp
2024/03/23,act_1504930,Luminae Beauty Ltd,DPA_AllProducts_Q4,CONVERSIONS,AdSet_retarget_visitors,Ad_Video_Glow,,,24362,396,201.46,1.16,0.51,0,0.0,,1.41,
2024-01-31,act_9591023,Luminae Beauty Ltd,,conversions,AdSet_18-24F,Ad_Carousel_Serum,feed,45736,45167,1702,298.35,3.72,0.18,8,594.42,1.99,1.01,GBP
02-24-2024,act_2244809,Luminae Beauty Ltd,,,AdSet_35-44F,Ad_UGC_2,Feed,8219,7120,295,91.29,3.59,0.31,4,143.39,1.57,1.15,gbp
,act_8655556,Luminae Beauty Ltd,Prospecting_Glow_Mar24,,AdSet_25-34F,Ad_Carousel_Serum,Reels,14115,-8549,,113.71,1.87,0.43,2,68.07,0.6,1.65,GBP
19/12/2024,act_7270287,Luminae Beauty Ltd,retargeting_cart_feb24,conversions,AdSet_25-34F,Ad_UGC_2,feed,15946,,665,331.51,4.17,0.5,58,3983.35,12.02,1.43,GBP 
2024/06/08,act_7189931,Luminae Beauty Ltd,retargeting_cart_feb24,,AdSet_retarget_visitors,Ad_UGC_1,REELS,33896,25828,1249,402.45,3.68$,0.32,111,2060.23$,5.12,1.31,GBP 
2024/03/30,act_7030663,Luminae Beauty Ltd,Conversion_NightCream_Q3,CONVERSIONS,AdSet_25-34F,Ad_Video_Glow,,12783,8794,35,261.31,0.27,7.47,2,174.95,0.67,1.45,GBP
02-23-2024,,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,conversions,AdSet_lookalike_purchasers,Ad_Carousel_Serum,feed,19604,12204,264,213.4,1.35,0.81,18,634.92%,2.98,1.61,GBP
12-27-2024,act_8954281,Luminae Beauty Ltd,Awareness_Serum_Jan24,BRAND_AWARENESS,AdSet_lookalike_purchasers,Ad_Static_SPF,Stories,43775,,750,484.65,1.71,0.65,,1548.94,3.2,1.12,GBP
05-17-2024,act_7525628,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,,AdSet_lookalike_purchasers,Ad_UGC_1,Audience Network,23164,,620,377.41,2.68,0.61,5,316.1,0.84,1.03,GBP
2024/10/11,act_1437804,Luminae Beauty Ltd,NULL,Traffic,AdSet_retarget_visitors,Ad_UGC_2,,8650,5356,70,342.57,0.81,4.89,3,171.22,0.5,1.62,GBP
12-Apr-2024,act_5114130,Luminae Beauty Ltd,UGC_Serum_Test,TRAFFIC,AdSet_25-34F,,stories,39554,39510,481,143.31,1.22,0.3,39,2152.79,15.02,1.0,GBP 
25/06/2024,act_7479257,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,conversions,AdSet_18-24F,Ad_Carousel_Serum,Feed,6736,5951,330,274.22,4.9,0.83,24,2048.77,7.47,1.13,GBP 
