Date,Customer_ID,Campaign,Network,Match_Type,Keyword,Impressions,Clicks,Cost_GBP,CTR,Avg_CPC,Conversions,Conv_Value_GBP,Conv_Rate_Pct,Quality_Score,Impression_Share_Pct,Device,Currency_Code
13/08/2024,243-887-6735,Brand_KW_Exact,Display,BROAD,hyaluronic acid,34043,1915,179.63,5.63,0.09,109,2673.32,5.69,1,42.7,Desktop,GBP 
2024-11-18,545-392-9490,RLSA_CartAbandoners,search,exact,hyaluronic acid,32810,-446,307.85,1.36,0.69,13,489.47,2.91,10,78.9,Mobile,
01-07-2024,415-684-3473,Competitor_KW_BMM,,Exact,retinol cream,33715,387,242.27,1.15,0.63,17,1267.25,4.39,2,56.6,Tablet,GBP
04-05-2024,509-218-2010,DSA_AllProducts,Shopping,Phrase,,-4994,390,466.56,7.81,1.2,19,1422.68,4.87,4,66.4,mobile,GBP 
14/12/2024,715-867-2870,DSA_AllProducts,Search,BROAD,hyaluronic acid,15057,1022,430.3,6.79,0.42,88,1912.9,8.61,3,33.1,Desktop,GBP
2024-05-09,263-969-8753,Generic_Skincare_Broad,,,skincare routine,13213,152,25.54,1.15,0.17,4,341.54,2.63,,31.1,Mobile,GBP
29/06/2024,494-740-3589,NULL,Search,exact,,13377,100,311.03%,0.75,3.11,0,0.0,0.0,2,17.4,Mobile,GBP 
10-29-2024,568-811-6647,Generic_Skincare_Broad,search,exact,buy serum online,24983,404,596.74,1.62,1.48,13,570.8,,1,,DESKTOP,GBP 
2024-10-03,569-714-5636,RLSA_CartAbandoners,Search,BMM,glow cream,39829,2271,538.51 ,5.7,0.24,195,14737.01,8.59,7,51.7,Desktop,GBP 
07-Mar-2024,561-717-7681,RLSA_CartAbandoners,Shopping,Exact,vitamin c serum,,1917,79.03,5.85,0.04,162,11453.72,8.45,10,75.4,DESKTOP,gbp
2024/02/02,677-926-1242,Brand_KW_Exact,Shopping,BMM,spf drops,21028,509,201.31,2.42,0.4,6,208.85,1.18,5,37.7,,GBP 
2024/02/11,807-635-3152,brand_kw_exact,SHOPPING,Phrase,skincare routine,15470,878,160.33,5.68,0.18,1,69.75,0.11,5,62.2,DESKTOP,
21-Feb-2024,264-614-5418,RLSA_CartAbandoners,Shopping,BROAD,face serum,-19035,1321,594.95,6.94,0.45 ,57,1681.15,,6,69.4,,GBP 
2024/12/21,539-740-1334,Competitor_KW_BMM,search,BMM,glow cream,31826,418,12.28,1.31,0.03,23,1942.36,5.5,,94.5,Desktop,GBP 
23/11/2024,832-483-5986,NULL,Search,Exact,glow cream,18583,1294,425.95,6.96,0.33,21,731.52,1.62,8,60.7,Mobile,gbp
19-Aug-2024,154-481-9133,DSA_AllProducts,Shopping,Exact,glow cream,30992,528,474.45,1.7,0.9,30,2215.22,5.68,9,19.6,,GBP 
12/02/2024,952-684-9203,Generic_Skincare_Broad,,,,24715,1829,66.84,7.4,0.04,129,10601.5,7.05,9,83.5,,GBP
25-Feb-2024,,Competitor_KW_BMM,Display,BROAD,glow cream,-36979,2060,403.54,,0.2,63,4141.43,3.06,9,46.1,DESKTOP,GBP
03-29-2024,658-515-7952,RLSA_CartAbandoners,Search,exact,hyaluronic acid,17965,1091,321.76,,0.29,21,1056.16,,10,24.3,mobile,GBP
07-26-2024,635-133-1481,Shopping_Moisturisers,SHOPPING,BMM,face serum,21507,621,476.28,2.89,0.77,45,2779.42,7.25,3,58.4,DESKTOP,GBP
05-Jan-2024,624-278-6558,Generic_Skincare_Broad,Shopping,,glow cream,33743,1385,127.36,4.1,0.09,115,7454.57,,6,15.8,DESKTOP,GBP
2024-12-26,608-378-6842,Generic_Skincare_Broad,Shopping,Phrase,vitamin c serum,12860,174,22.11,1.35,0.13,10,805.9,5.75,,22.4,Desktop,
14-Jun-2024,978-770-7539,Shopping_Serums,,BMM,glow cream,23609,1490,504.69,6.31,0.34,62,4985.9,4.16,,92.3,DESKTOP,GBP
21-May-2024,808-589-5558,Generic_Skincare_Broad,,Phrase,buy serum online,7829,444,114.28,5.67,0.26,14,1171.95,3.15,4,92.4,Tablet,GBP 
03/01/2024,694-621-1303,,Search,Broad,best serum uk,32525,2542,90.82,7.82,0.04,188,9133.83,7.4,8,19.0,Tablet,
2024-02-02,324-525-1926,RLSA_CartAbandoners,Shopping,Broad,hyaluronic acid,29457,439,,,0.99,1,75.3,0.23,6,22.9,mobile,
2024/04/11,270-921-4129,Shopping_Serums,search,Phrase,spf drops,16310,422,404.63,2.59,0.96,18,1387.78,4.27,10,,DESKTOP,GBP
2024/06/22,116-267-5237,RLSA_CartAbandoners,Shopping,exact,buy serum online,1731,71,129.52,4.1,1.82,5,93.98,7.04,6,50.0,Tablet,
09-03-2024,821-962-5607,,Search,Phrase,,15161,1143,261.25,7.54,0.23,108,8940.66,9.45,,39.0,mobile,
2024/09/23,293-508-6513,Generic_Skincare_Broad,Search,BROAD,,37688,638,49.69,1.69,0.08,,423.55,1.1,2,15.8,Mobile,
2024/12/14,974-215-1014,,search,BROAD,,37499,608,42.68,1.62,0.07,21,1082.16,3.45,10,38.7,Mobile,GBP
04-20-2024,202-494-2716,brand_kw_exact,Display,,glow cream,29658,1442,220.49,4.86,0.15,11,936.16,0.76,5,45.2%,Desktop,GBP
2024/01/29,380-265-7591,Brand_KW_Exact ,Display,Exact,vitamin c serum,21243,954,229.29,4.49,0.24,1,63.46,0.1,1,60.9,Desktop,GBP
04-08-2024,867-812-5523,Competitor_KW_BMM,Shopping,BROAD,glow cream,6044,271,428.38,4.48,1.58,12,560.02,4.43,,19.1,Tablet,GBP
20-Jan-2024,173-243-9875,Shopping_Serums,Search,exact,skincare routine,10225,215,397.2,2.1,1.85,5,135.48,2.33,8,66.0,DESKTOP,GBP
10-13-2024,285-776-6743,,,,buy serum online,988,19,28.39,1.92,1.49,,0.0,0.0,5,10.9,Mobile,GBP
2024/07/01,779-889-1265,brand_kw_exact,,Broad,best serum uk,7021,298,,,1.29,27,2307.91,9.06,4,65.6,Tablet,GBP
28/05/2024,374-460-5868,NULL,Shopping,Broad,best serum uk,28429,1694,229.19,,0.14,116,9313.3,6.85,,59.5,Tablet,
2024-03-21,343-655-7460,Competitor_KW_BMM,Shopping,BMM,glow cream,35355,591,542.68,1.67,0.92,25,1432.39,4.23,4,,,GBP
25-Sep-2024,108-317-7988,Brand_KW_Exact,Shopping,Broad,hyaluronic acid,20518,164,386.68,0.8,2.36,0,,0.0,2,76.2,DESKTOP,gbp
24/05/2024,,Generic_Skincare_Broad,Search,,retinol cream,10978,408,378.62,3.72,0.93,20,1743.04,4.9,8,72.6,Tablet,GBP 
24-Jun-2024,771-805-1126,brand_kw_exact,SHOPPING,BROAD,spf drops,17476,1164,197.26,6.66,0.17,59,3428.13,5.07,4,56.6,DESKTOP,gbp
2024-12-05,717-867-2997,Generic_Skincare_Broad,Shopping,Phrase,spf drops,4593,306,394.2,6.66,1.29,13,791.73,4.25,3,81.4,mobile,
2024-04-26,867-440-5741,Brand_KW_Exact ,,BMM,vitamin c serum,32231,2177,345.25,6.75,0.16,159,13379.09,7.3,3,43.5,Tablet,
04/02/2024,699-617-1618,,,,glow cream,,180,,5.99,2.06%,,160.8,3.33,N/A,23.6,Tablet,GBP
2024/07/31,853-295-6768,brand_kw_exact,,BMM,spf drops,14602,614,367.09,4.2%,0.6,1,39.57,,N/A,64.8,Tablet,GBP
05-Sep-2024,431-941-1531,NULL,search,Phrase,glow cream,10310,534,257.43,5.18,0.48,2,162.86,0.37,,,DESKTOP,gbp
01-28-2024,719-199-6707,,Shopping,exact,best serum uk,9213,222,321.73,2.41,1.45,22,510.35,9.91,,80.2,Mobile,GBP 
14-Nov-2024,219-383-8147,Generic_Skincare_Broad,Display,Exact,buy serum online,39339,397,207.0,1.01,,23,1371.76,5.79,N/A,41.7,mobile,
12/02/2024,656-126-6150,Generic_Skincare_Broad,Search,Exact,retinol cream,6305,60,228.08,0.95,3.8,1,55.26,1.67,,67.3,Tablet,GBP
12-Feb-2024,327-689-8274,,SHOPPING,Broad,retinol cream,16447,58,360.89,0.35,6.22,5,130.9,8.62,N/A,25.5,Mobile,GBP
09/02/2024,849-320-8470,Brand_KW_Exact,,Phrase,hyaluronic acid,29718,45,538.49,0.15,11.97,4,270.39,8.89,1,68.3,,GBP 
2024/07/10,501-565-1381,Brand_KW_Exact ,Display,exact,best serum uk,18163,637,145.15,3.51,0.23,31,890.11,4.87%,3,22.3,mobile,
04-03-2024,903-168-4416,DSA_AllProducts,Display,BROAD,vitamin c serum,35705,1662,325.07,4.65,0.2,121,3474.6,7.28,6,67.0,Desktop,GBP
29-Nov-2024,312-870-9140,Brand_KW_Exact,Search,exact,retinol cream,2345,149,171.32,6.35,1.15,9,668.45,6.04,9,26.6,,gbp
2024/02/05,707-618-6526,,search,Exact,skincare routine,22213,1227,508.58,5.52,0.41,110,9204.77,8.96,,25.8,mobile,GBP
,825-320-2769,NULL,Search,Phrase,,364,29,359.79 ,7.97,12.41,1,65.28,3.45,,87.5,,gbp
2024-06-12,789-292-2679,,,Phrase,retinol cream,26864,574,543.03,2.14,0.95,17,385.44,2.96,,60.3,Desktop,gbp
03-29-2024,442-218-3387,NULL,,Phrase,glow cream,13302,263,478.43,1.98,1.82,14,719.46,5.32,3,,Tablet,
2024/07/12,921-577-1944,Generic_Skincare_Broad,SHOPPING,Phrase,best serum uk,24707,69,58.2,0.28,0.84,6,117.15,8.7,5,73.5,Mobile,GBP 
06-13-2024,162-613-3426,Competitor_KW_BMM,,,hyaluronic acid,324,12,86.32,3.7 ,7.19,,74.02,8.33%,,39.2,Tablet,gbp
2024/07/15,618-393-5358,Generic_Skincare_Broad,search,Exact,buy serum online,29148,1692,308.92,5.8,0.18,115,3622.67,6.8,5,22.6,,
06-16-2024,355-732-3863,DSA_AllProducts,search,,skincare routine,8023,60,494.83,0.75,8.25,,81.99,3.33,7,89.6 ,Mobile,
10-Apr-2024,567-667-9301,,SHOPPING,,,20881,1617,54.26,7.74,0.03,154,6461.71,9.52,,,Mobile,GBP 
05-05-2024,640-859-9019,Generic_Skincare_Broad,search,exact,retinol cream,28006,686,512.63,2.45,0.75,52,2443.65,7.58,4,48.0,DESKTOP,gbp
2024/09/21,612-468-4657,Competitor_KW_BMM,Search,exact,buy serum online,-9321,456,506.7,4.89,1.11,17,759.98,3.73,7,,mobile,gbp
2024-05-30,433-179-9010,Generic_Skincare_Broad,,BROAD,retinol cream,34779,2265,317.86,6.51,0.14,,439.83,0.31%,10,10.6,DESKTOP,
01-06-2024,788-798-6022,Generic_Skincare_Broad,,BMM,spf drops,12139,938,280.66,7.73,0.3,90,,9.59,,58.4,DESKTOP,GBP
2024-04-20,183-823-5241,Generic_Skincare_Broad,SHOPPING,BROAD,face serum,20512,87,238.7,0.42,2.74,1,76.11,1.15,N/A,16.8,,GBP
2024/12/30,833-903-7777,DSA_AllProducts,,BROAD,spf drops,31345,1068,277.29,3.41,0.26,35,1844.73,3.28,,94.6,DESKTOP,
,288-200-1597,Shopping_Serums,Shopping,Exact,buy serum online,32295,231,16.67,0.72,,18,458.36,7.79,4,71.1,Desktop,GBP 
09/02/2024,309-249-5713,,search,,buy serum online,4330,110,592.37,,5.39,1,54.51,0.91,10,31.1,,gbp
2024-09-13,986-115-2153,Shopping_Moisturisers,SHOPPING,Exact,best serum uk,14649,799,152.73,5.45,0.19,56,2800.08,7.01,5,28.8,,
2024-10-13,895-452-6097,Shopping_Moisturisers,SHOPPING,Phrase,hyaluronic acid,30893,2031,129.22,6.57,0.06,125,4724.34,6.15,,37.7 ,,GBP
18/10/2024,489-835-4532,NULL,Display,Broad,spf drops,1724,126,247.3,7.31,1.96,2,165.19,1.59,3,33.8,Tablet,GBP
2024-12-15,873-694-3676,Competitor_KW_BMM,,exact,glow cream,36063,213,431.09,0.59,2.02,20,1315.32,9.39,6,17.2,Desktop,GBP
2024-06-06,425-189-6648,DSA_AllProducts,,Exact,best serum uk,,1493,456.33,,0.31,90,1730.65,6.03,,70.4,,
2024/04/17,930-117-7188,RLSA_CartAbandoners,search,,hyaluronic acid,39240,46,230.53,0.12,5.01,0,0.0,0.0,,23.5,Desktop,GBP 
2024-02-16,704-385-7135,DSA_AllProducts,search,,spf drops,23407,479,,2.05,0.16,44,1584.08,9.19,,57.9,Mobile,gbp
13/12/2024,192-519-7347,,,Broad,buy serum online,2866,34,371.32,1.19,10.92,1,21.24,2.94 ,2,,Mobile,GBP 
2024-11-30,697-288-7312,RLSA_CartAbandoners,search,,retinol cream,4253,202,338.79,4.75,1.68,15,575.35,7.43,6,,Tablet,gbp
21/11/2024,181-823-9526,Competitor_KW_BMM,SHOPPING,Broad,hyaluronic acid,5066,264,544.61,5.21,2.06,9,580.57,3.41,1,85.8,DESKTOP,gbp
12-19-2024,270-831-6699,Brand_KW_Exact,Search,,vitamin c serum,22797,907,552.16,3.98,0.61,26,1761.79,2.87,,,Tablet,GBP
2024-12-27,481-303-8050,DSA_AllProducts,,BROAD,hyaluronic acid,35591,1937,189.9,5.44,0.1,,12271.84,8.05,8,86.6,Desktop,GBP
17/05/2024,760-605-9645,Shopping_Serums,Search,Broad,best serum uk,19267,690,354.79,3.58,0.51,40,2202.16,5.8,4,24.0,Mobile,gbp
15/11/2024,175-480-3032,RLSA_CartAbandoners,Shopping,BROAD,hyaluronic acid,29129,1232,556.42,4.23 ,0.45,70,1755.44,5.68,N/A,,Tablet,GBP
2024/02/21,180-603-7055,Competitor_KW_BMM,Shopping,BMM,hyaluronic acid,12441,803,383.0,6.45,0.48,67,2045.2,8.34,5,88.4,Mobile,GBP
2024/12/01,433-850-1660,Brand_KW_Exact ,Shopping,exact,face serum,27110,708,555.97,2.61,0.79,56,3313.0,7.91,6,18.9,DESKTOP,GBP
01/08/2024,486-102-4587,DSA_AllProducts,SHOPPING,BROAD,best serum uk,32403,1017,106.88,3.14,0.11,,5768.37,7.28,N/A,66.2,DESKTOP,
02-Sep-2024,299-605-7603,Brand_KW_Exact ,SHOPPING,Phrase,retinol cream,-18754,932,89.82,4.97,0.1,90,5330.72,9.66,1,,Tablet,gbp
2024/08/18,474-181-3011,Shopping_Moisturisers,SHOPPING,Exact,glow cream,17678,724,308.28,4.1,0.43,22,1597.29,3.04,9,11.1,Desktop,
2024/10/31,735-912-2945,Shopping_Serums,Shopping,Phrase,face serum,-17354,1228,113.68,7.08,,37,2226.05,3.01,3,53.0,mobile,gbp
24/06/2024,680-889-5155,brand_kw_exact,,Phrase,,8177,117,18.71,1.43,0.16,9,363.24,7.69,3,80.7,DESKTOP,gbp
30-Dec-2024,240-611-5544,Shopping_Serums,search,Phrase,buy serum online,8830,157,224.49,1.78,1.43,15,379.54,9.55,9,,Desktop,gbp
2024/03/23,909-257-5459,Brand_KW_Exact ,Shopping,Phrase,retinol cream,2733,98,217.6,3.59,,1,24.49,1.02,8,36.2,,
2024/07/25,410-621-3622,Shopping_Serums,Search,BROAD,best serum uk,1466,91,448.75,6.21,4.93,6,412.56,6.59,N/A,25.9,,GBP
03-05-2024,582-376-6947,Shopping_Moisturisers,Shopping,Exact,hyaluronic acid,14096,471,98.42$,,0.21,27,1117.58,5.73,7,63.7,,GBP
09-06-2024,886-669-3625,Brand_KW_Exact,Shopping,,face serum,,405,314.5,2.14,0.78,,2704.46,9.38,5,,DESKTOP,GBP
04-May-2024,864-836-3723,Generic_Skincare_Broad,Search,BMM,glow cream,17546,554,433.45,3.16,0.78,-30,2187.39,5.42,,44.4,,GBP 
05-20-2024,946-652-5627,Shopping_Moisturisers,Shopping,BMM,best serum uk,1256,58,537.54,4.62,9.27,1,74.04,1.72,10,67.5,Mobile,gbp
10/08/2024,439-854-6648,Generic_Skincare_Broad,,,spf drops,32126,833,252.37,2.59,0.3,-30,1563.7,3.6,10,60.7,Tablet,
2024-01-10,419-600-5716,NULL,,,retinol cream,34458,,501.23,0.97,1.5,23,1329.23,6.89,2,46.7,,GBP
2024-02-21,597-757-9020,Generic_Skincare_Broad,SHOPPING,exact,spf drops,6872,439,540.62,6.39,1.23,16,491.5,3.64,7,10.3,Desktop,GBP
2024-04-24,804-836-8896,Generic_Skincare_Broad,Search,,vitamin c serum,36258,1230,123.66,3.39,0.1,93,8303.91,7.56,8,87.0,mobile,gbp
13-Feb-2024,703-179-5013,,Search,exact,best serum uk,21537,346,57.31,1.61,0.17,0,0.0,0.0,3,11.3,mobile,
2024-07-17,235-741-3794,Shopping_Serums,,BMM,vitamin c serum,31731,1261,326.89,3.97,0.26,-76,2513.81,6.03,8,79.9,Desktop,GBP
2024-03-22,840-587-9356,Shopping_Serums,SHOPPING,Phrase,face serum,19067,941,462.54,4.94,0.49,,2895.24,6.48,,76.2,Desktop,GBP
2024-06-04,770-206-8178,Shopping_Serums,Search,,spf drops,15063,1074,274.94,7.13,0.26,69,1777.43,6.42,3,88.2,Mobile,GBP
17/07/2024,206-249-2814,Generic_Skincare_Broad,Shopping,Phrase,buy serum online,22641,1096,538.16,4.84,0.49,-33,1431.08,3.01,N/A,66.6,Mobile,gbp
04-17-2024,340-257-2074,NULL,SHOPPING,Broad,retinol cream,17708,846,546.7,4.78,0.65 ,29,,3.43,,88.7,Mobile,GBP
10-Oct-2024,154-378-7325,,,BMM,spf drops,36594,1894,322.14,5.18,0.17,35,2369.04,1.85,3,68.5,,
02-Sep-2024,728-347-1337,Shopping_Serums,,Phrase,face serum,3895,49,432.83,1.26,8.83,3,191.45,6.12,10,93.1,Mobile,GBP
2024/09/11,992-222-6957,DSA_AllProducts,SHOPPING,exact,buy serum online,31218,,316.74,3.55,0.29,34,818.32,3.07,3,21.5,DESKTOP,
11-12-2024,584-224-1089,,search,,,20533,1381,410.0,6.73,0.3,4,96.59,0.29,10,48.9,Tablet,gbp
11/07/2024,591-573-9301,Generic_Skincare_Broad,,exact,skincare routine,7055,36,299.16,0.51,8.31,2,56.81,5.56,,57.8,mobile,GBP
2024-09-04,707-378-3354,Brand_KW_Exact,SHOPPING,,face serum,5262,273,283.05,5.19,1.04,26,588.88$,,5,68.0,mobile,GBP 
2024-03-02,140-871-2042,Brand_KW_Exact ,search,,hyaluronic acid,12638,404,459.33,,1.14,38,1698.57,9.41,7,65.6,Mobile,gbp
2024/12/29,193-645-1976,Generic_Skincare_Broad,Shopping,BROAD,,,520,82.76,3.01,0.16,9,505.83,,,93.7,mobile,GBP 
12-13-2024,669-612-9645,Brand_KW_Exact ,SHOPPING,Broad,buy serum online,27120,1286,397.77,4.74,0.31,48,3513.4,3.73,2,23.2,Mobile,GBP
24-Nov-2024,162-550-4455,Shopping_Moisturisers,SHOPPING,BMM,,27027,702,,2.6,0.04,60,2565.52,8.55,6,77.1,Desktop,GBP
2024/11/15,899-357-4444,NULL,search,Broad,glow cream,,-398,247.67,5.11,0.62,37,1394.25,9.3,,12.4,,
06-26-2024,203-664-5184,Shopping_Serums,Shopping,Broad,hyaluronic acid,6296,64,176.45,1.02,2.76,4,220.79,6.25,7,48.3,Tablet,GBP
01/06/2024,756-285-5009,Generic_Skincare_Broad,Shopping,Exact,buy serum online,3676,209,14.55,5.69,0.07,-20,1237.41,9.57,,29.7,mobile,GBP
2024/10/08,268-927-3666,Competitor_KW_BMM,search,Broad,glow cream,13079,799,439.27,6.11,0.55,49,2292.16,6.13,6,34.0,,gbp
24-Mar-2024,565-681-6547,,,,,3828,287,245.17,7.5,0.85,26,2312.45,9.06,,80.1,mobile,
07-07-2024,291-166-2750,Generic_Skincare_Broad,SHOPPING,Phrase,glow cream,36653,1874,522.1,5.11,0.28,99,1782.84,5.28,7,55.0,,GBP 
2024/06/03,216-849-2993,DSA_AllProducts,,BMM,retinol cream,26088,1757,589.94,6.73,0.34,86,7562.89,4.89,9,92.9,mobile,GBP
09/09/2024,774-227-4100,Generic_Skincare_Broad,Shopping,exact,glow cream,25768,1883,500.76,7.31,0.27,128,,6.8,1,76.9,Desktop,gbp
09-17-2024,950-667-2234,Brand_KW_Exact,SHOPPING,BROAD,,34220,2050,528.48,5.99,,134,5918.6,6.54,2,26.6,Tablet,gbp
09-Jan-2024,892-430-2639,brand_kw_exact,SHOPPING,BROAD,hyaluronic acid,22128,828,301.26,3.74,0.36,4,348.01,0.48,3,,,gbp
08-17-2024,285-534-4723,DSA_AllProducts,search,BROAD,hyaluronic acid,34781,670,8.24,1.93,0.01,58,4275.26,8.66,2,87.1 ,DESKTOP,GBP
2024/07/07,323-977-1169,Shopping_Serums,,exact,best serum uk,24302,944,64.17,3.88,0.07,50,3873.98,5.3,,53.8,Tablet,
25/10/2024,698-610-6748,DSA_AllProducts,Search,exact,spf drops,5097,117,73.78,2.3,0.63,2,154.09,1.71,,49.4,,GBP
09-Dec-2024,423-745-3380,Generic_Skincare_Broad,,exact,,6158,315,,5.12,0.8,5,162.33,1.59,,70.8,mobile,GBP 
2024-08-28,204-774-4262,NULL,search,,vitamin c serum,11107,459,495.45,4.13,1.08,42,1611.44,9.15,2,10.8,DESKTOP,
2024-08-12,467-218-6985,brand_kw_exact,Shopping,BROAD,hyaluronic acid,12950,528,236.34,4.08,0.45,23,996.73,4.36,4,34.5 ,mobile,GBP 
04-11-2024,124-439-7050,Generic_Skincare_Broad,search,BMM,face serum,14316,636,319.66,4.44,0.5,42,878.01 ,6.6,9,14.3,mobile,GBP
22-Jul-2024,110-719-5390,,Search,BROAD,retinol cream,2533,85,,3.36,3.69,0,0.0,0.0,9,31.1,mobile,
06-29-2024,584-635-4932,Shopping_Serums,Display,Exact,retinol cream,21941,24,230.49,0.11,9.6,2,,8.33,9,83.5,Tablet,GBP 
2024-08-11,951-517-6893,Shopping_Serums,,Broad,hyaluronic acid,29089,709,92.47,2.44,0.13,9,402.08,1.27,7,65.6,mobile,gbp
07-30-2024,538-439-8867,DSA_AllProducts,Search,,,29664,752,274.37,2.54,0.36,49,2033.05,6.52,,56.9,Mobile,GBP
01/01/2024,115-512-2358,Brand_KW_Exact,Shopping,BMM,buy serum online,12004,277,508.82,2.31,1.84$,11,556.66,3.97,7,93.3,mobile,GBP 
19/08/2024,313-840-7842,,SHOPPING,Exact,,29348,650,293.48,2.21,0.45,,1647.31,5.85,1,27.9,Tablet,gbp
2024-06-22,799-136-6282,brand_kw_exact,search,Exact,vitamin c serum,6499,247,256.53,3.8 ,1.04,24,1475.72,9.72,,28.8,,
12/05/2024,149-108-4517,Shopping_Serums,search,BMM,,33216,2093,99.73,6.3,0.05,104,9013.18,4.97,N/A,91.3,Desktop,GBP 
12-07-2024,746-724-8476,DSA_AllProducts,SHOPPING,Broad,best serum uk,30886,2015,543.44,6.52%,0.27,81,5763.7,4.02,5,39.1,Mobile,gbp
,169-553-9932,NULL,Shopping,Phrase,,10692,490,392.84,4.58,0.8,48,2173.56 ,9.8,,94.8,DESKTOP,gbp
19-Apr-2024,369-771-9478,,SHOPPING,Phrase,buy serum online,1076,,183.19,5.67,3.0,5,183.94,8.2,2,19.6,mobile,GBP 
27-Sep-2024,492-266-1387,Generic_Skincare_Broad,search,Phrase,skincare routine,14321,799,346.46,5.58,0.43,,2082.89,7.01,,70.6,DESKTOP,gbp
2024/02/11,238-663-6914,NULL,,Broad,spf drops,28222,1889,202.67,6.69,0.11,172,3138.66,9.11,,65.9,,GBP 
05/08/2024,315-933-6761,Generic_Skincare_Broad,,Phrase,skincare routine,39818,222,418.66,0.56,1.89,20,1091.19,9.01,5,34.9,Mobile,
14-Jan-2024,551-954-2535,RLSA_CartAbandoners,Display,Phrase,face serum,4677,19,125.58,0.41,6.61,1,66.49,5.26,3,46.7,DESKTOP,gbp
2024-05-17,535-659-3429,Shopping_Serums,,,glow cream,1176,59,551.84,5.02,9.35,,81.85,3.39,9,,Mobile,
05-Mar-2024,828-470-8069,brand_kw_exact,search,,hyaluronic acid,24408,,565.61,0.82,2.83,7,,3.5,7,38.7,DESKTOP,
25-Jun-2024,545-891-1071,Generic_Skincare_Broad,Search,,spf drops,14149,589,128.67,,0.22,12,706.24,2.04,10,,,GBP
02/03/2024,220-570-6074,NULL,Search,Phrase,face serum,9190,632,172.12,6.88,0.27,52,,8.23,7,67.7,Desktop,
,900-430-6302,Generic_Skincare_Broad,Display,Exact,face serum,6236,105,451.75,1.68,4.3,8,406.45,7.62,,,mobile,
08-19-2024,308-852-7362,NULL,SHOPPING,BMM,hyaluronic acid,13781,650,160.36,4.72,0.25,10,242.78,,6,11.0,mobile,GBP
04-Oct-2024,216-386-8552,Shopping_Moisturisers,Search,Exact,face serum,5161,172,410.77%,3.33,2.39,15,1089.41 ,8.72,1,81.3,,GBP 
,426-244-4669,Generic_Skincare_Broad,Display,,face serum,32590,550,381.32,1.69%,0.69,21,959.71,3.82,10,25.8,Mobile,
09-25-2024,240-480-2969,NULL,Search,Broad,face serum,30608,1751,,5.72,0.25,90,,5.14,N/A,82.9,Desktop,GBP 
20-Aug-2024,993-671-2932,Shopping_Serums,Search,exact,best serum uk,-22249,993,,,0.12,44,1308.58,4.43,3,,Mobile,GBP 
09/06/2024,910-100-2126,Shopping_Serums,Shopping,BROAD,hyaluronic acid,35475,2220,484.98,6.26,0.22,25,1356.24,1.13,10,,DESKTOP,GBP
2024/03/09,774-721-9849,,,BMM,buy serum online,9764,215,11.65,,0.05,15,373.42,6.98$,4,22.2,,gbp
2024-06-05,850-975-8782,Shopping_Moisturisers,Search,,vitamin c serum,14050,653,159.34,4.65,0.24,13,954.46,1.99,,56.5,,GBP
19/03/2024,833-702-8528,Generic_Skincare_Broad,,BMM,,9646,581,428.99,6.02,0.74,,491.52 ,1.38,1,62.7,mobile,GBP
