send_date,campaign_id,campaign_name,email_type,subject_line,total_sent,delivered,bounced,opened,clicked,unsubscribed,open_rate_pct,click_to_open_rate,conversions,revenue_gbp,esp_platform,list_segment
2024-05-19,EM5304,Abandoned_Cart_1 ,,New in: Vitamin C Serum,5604,5292,312,1796,115,,33.94,6.4,8,196.51,Mailchimp,
03-09-2024,,abandoned_cart_1,NEWSLETTER,Exclusive access just for you,20475,19519,956,8283,575,311,,6.94,35,1628.23 ,Klaviyo,
2024-12-15,EM7601,Monthly_Newsletter_Feb,NEWSLETTER,,14757,13385,1372,3915,928,101,29.25,23.7,48,1770.42,Mailchimp,
2024-12-08,EM5707,Monthly_Newsletter_Jan,NEWSLETTER,We miss you - here is 15% off,10292,9266,1026,455,13,3,4.91,2.86,0,0.0,klaviyo,VIP
09-06-2024,EM2249,Abandoned_Cart_2,newsletter,,16756,15332,1424,,30,91,15.59,1.25,3,160.41,klaviyo,Lapsed_90d
08/06/2024,EM1829,VIP_Early_Access,,Glow up this summer,24624,24568,56,7997,,260,32.55,4.38,6,478.24,,VIP
01-08-2024,EM4776,Flash_Sale_48hr,promotional,New in: Vitamin C Serum,12049,11962,87,4612,870,,38.56,18.86,167,12533.55,klaviyo,All Subscribers
2024-02-12,EM5083,Abandoned_Cart_1,,New in: Vitamin C Serum,22657,21892,765,2783,859,419,12.71,30.87,168,7744.95,KLAVIYO,Lapsed_90d
2024-03-06,EM7514,Abandoned_Cart_1 ,NEWSLETTER,NULL,12469,11319,1150,4920,511,,43.47,10.39,77,2864.69,Klaviyo,
2024-07-13,EM2449,Abandoned_Cart_1 ,transactional,You left something behind...,11424,11151,273,827,181,61,7.42,21.89,22,1420.94,KLAVIYO,Cart Abandoners
,EM1020,Welcome_Series_2,promotional,We miss you - here is 15% off,10389,9818,571,2820,856,130,28.72,30.35,5,421.47,Mailchimp,
2024/06/17,EM3938,,NEWSLETTER,NULL,,642,66,167,20,7,26.01,11.98,0,0.0,,New Subscribers
04-30-2024,EM9386,Abandoned_Cart_1 ,,NULL,16997,16941,,4683,488,20,27.64,10.42,77,5302.0,,VIP
2024/01/26,EM7825,Abandoned_Cart_1,win_back,,8990,8636,354,916,55,33,10.61,6.0,0,0.0,Dotdigital,
06-05-2024,EM9013,Monthly_Newsletter_Feb,newsletter,Exclusive access just for you,1856,,32,296,50,6,16.23,16.89,5,418.25,mailchimp,New Subscribers
07-May-2024,EM1339,Win_Back_90Day,win_back,Your skin will thank you,-14828,14319,509,757,203,268,5.29,26.82,40,1322.58,mailchimp,Lapsed_90d
2024/09/30,EM4548,abandoned_cart_1,newsletter,You left something behind...,14656,13932,724,4775,926,126,34.27,19.39,131,6930.83,,New Subscribers
22-Jul-2024,EM5551,abandoned_cart_1,,,8595,8470,125,1193,106,71,14.09,8.89,0,0.0,Dotdigital,Lapsed_90d
09-Aug-2024,EM4063,Flash_Sale_48hr,transactional,Your skin will thank you,6936,6899,37,1753,235,77,25.41,13.41,12,967.63,KLAVIYO,
23-Jan-2024,EM4658,Abandoned_Cart_1,win_back,New in: Vitamin C Serum,16388,15442,946,6746,1731,22,43.69,25.66,178,8232.57,klaviyo,Cart Abandoners
2024-05-03,EM4689,Abandoned_Cart_1,win_back,48hrs only: 20% off everything,17222,16570,652,897,71,231,5.41,7.92,8,436.43,mailchimp,VIP
05-13-2024,EM6807,Welcome_Series_2,NEWSLETTER,48hrs only: 20% off everything,15760,14797,963,3859,662,292,26.08,17.15,58,4974.52,mailchimp,lapsed_90d
03-Oct-2024,EM2417,abandoned_cart_1,Promotional,New in: Vitamin C Serum,11244,10627,617,2328,296,79,21.91,12.71,45,1195.36,Klaviyo,Lapsed_90d
2024/10/10,EM4726,Flash_Sale_48hr,transactional,,7293,7291,2,1757,219,23,24.1,12.46,0,0.0,klaviyo,
05-27-2024,EM6838,VIP_Early_Access,NEWSLETTER,We miss you - here is 15% off,19708,19081,627,2455,657,161,12.87,26.76,12,755.93,Mailchimp,lapsed_90d
,EM7868,Monthly_Newsletter_Jan,Promotional,48hrs only: 20% off everything,23709,21538,2171,-7328,1626,75,34.02,22.19,141,9544.23,Mailchimp,Lapsed_90d
11-11-2024,EM2097,,promotional,NULL,20194,18058,2136,6064,2023,28,33.58,33.36,393,30698.64,mailchimp,Cart Abandoners
02-Mar-2024,EM2394,VIP_Early_Access,transactional,Glow up this summer,9856,9240,616,2432,810,33,26.32,33.31,37,,klaviyo,All Subscribers
22/01/2024,EM4606,Abandoned_Cart_2,promotional,Your skin will thank you,16746,15301,1445,243,11,95,1.59,4.53,2,118.76,Mailchimp,All Subscribers
18-Jan-2024,EM1357,VIP_Early_Access,,Your skin will thank you,10875,9819,1056,2009,153,170,20.46,7.62,14,395.65,Mailchimp,Cart Abandoners
06-Jul-2024,EM4916,Flash_Sale_48hr,transactional,You left something behind...,24483,22335,2148,9007,2496,131,40.33,,70,3790.55,Klaviyo,Lapsed_90d
05-11-2024,EM3475,,promotional,,23331,20876,,7282,1107,12,34.88,15.2,116,,Dotdigital,lapsed_90d
04-03-2024,EM5494,Win_Back_90Day,promotional,New in: Vitamin C Serum,5827,5497,330,1938,,20,35.26,14.86,6,162.22,Klaviyo,
08-02-2024,EM4891,Abandoned_Cart_1,newsletter,48hrs only: 20% off everything,8699,8520,179,3125,614,50,36.68,19.65,83,6365.18,,All Subscribers
25-May-2024,EM1685,,newsletter,NULL,14803,13313,1490,4347,13,-74,32.65,0.3,0,0.0,,VIP
2024-07-10,EM1460,Abandoned_Cart_1,,Your skin will thank you,13850,13717,133,1735,253,92,,14.58,14,753.37,Klaviyo,VIP
2024-03-18,EM3401,Monthly_Newsletter_Jan,Promotional,48hrs only: 20% off everything,10274,9879,395,2238,702,106,22.65,31.37,49,,klaviyo,All Subscribers
18/04/2024,EM7605,,transactional,You left something behind...,15518,14115,1403,-5707,235,80,40.43,4.12,42,3329.6,KLAVIYO,Lapsed_90d
20-Aug-2024,EM8548,Flash_Sale_48hr,,Exclusive access just for you,15498,14140,,3760,687,229,26.59,18.27,109,2137.04,KLAVIYO,All Subscribers
2024/01/03,EM2360,Win_Back_90Day,newsletter,,11209,11067,142,,152,105,15.44,8.89,14,1140.33,klaviyo,VIP
09-08-2024,EM9315,Welcome_Series_2,,You left something behind...,18486,18006,480,1567,547,-177,8.7,34.91,105,2805.0,KLAVIYO,New Subscribers
2024/12/03,EM5094,Flash_Sale_48hr,Promotional,,21107,18926,-2181,1108,102,62,5.85,9.21,14,1117.36,Mailchimp,VIP
2024-03-23,EM9804,Monthly_Newsletter_Mar,,48hrs only: 20% off everything,24892,23096,,288,24,193,1.25,8.33,2,95.23,klaviyo,Lapsed_90d
05/03/2024,EM3067,,Promotional,New in: Vitamin C Serum,4337,3843,494,250,58,1,6.51,23.2,2,111.49,Mailchimp,
09-30-2024,EM7350,VIP_Early_Access,,NULL,12496,12147,,1857,76,14,15.29,4.09,2,54.6,Klaviyo,
,EM7556,Abandoned_Cart_1 ,win_back,We miss you - here is 15% off,,9734,396,-707,145,75,7.26,20.51,19,1681.05,Dotdigital,
08-12-2024,EM7448,Win_Back_90Day,transactional,48hrs only: 20% off everything,7894,7749,145,3055,186,122,39.42,6.09,26,534.97,Mailchimp,VIP
10-21-2024,EM3818,Flash_Sale_48hr,win_back,48hrs only: 20% off everything,9625,9197,428,2207,711,126,24.0,32.22,82,7226.3,klaviyo,All Subscribers
2024/05/11,EM2665,,promotional,We miss you - here is 15% off,20918,19146,1772,7696,2513,315,40.2,32.65,396,7379.45%,Mailchimp,All Subscribers
11-Jan-2024,EM3879,Abandoned_Cart_2,NEWSLETTER,New in: Vitamin C Serum,878,822,56,221,16,9,26.89,7.24,2,147.27,Dotdigital,Lapsed_90d
03-Aug-2024,EM2688,Flash_Sale_48hr,NEWSLETTER,We miss you - here is 15% off,15836,14430,1406,5748,17,31,39.83,0.3,2,127.84,,New Subscribers
2024/09/07,EM2284,Monthly_Newsletter_Feb,,NULL,12558,12177,381,2540,277,167,20.86,10.91,10,692.74,Dotdigital,VIP
2024/12/13,EM8237,Monthly_Newsletter_Jan,NEWSLETTER,Exclusive access just for you,23454,21394,2060,7082,1926,318,33.1,27.2,207,13957.48,Klaviyo,
10-Feb-2024,EM3956,Abandoned_Cart_2,newsletter,You left something behind...,3692,3598,94,420,,33,11.67,3.81,0,0.0,Klaviyo,lapsed_90d
21-Mar-2024,EM6123,Abandoned_Cart_1 ,NEWSLETTER,,20738,18868,1870,2795,612,74,14.81,21.9,112,7152.41,Mailchimp,New Subscribers
2024-01-28,EM6834,,,48hrs only: 20% off everything,14951,,1458,1610,309,27,,19.19,45,2459.49,mailchimp,Cart Abandoners
08/01/2024,EM4573,Abandoned_Cart_2,Promotional,Exclusive access just for you,21480,19984,1496,5060,81,322,25.32,1.6,14,1207.8,Dotdigital,New Subscribers
2024-02-20,EM8171,Abandoned_Cart_1 ,NEWSLETTER,Your skin will thank you,3115,2785,330,725,87,40,26.03,12.0,13,245.71%,mailchimp,Cart Abandoners
23-Oct-2024,EM7367,Monthly_Newsletter_Jan,NEWSLETTER,NULL,22684,,666,832,263,381,3.78,31.61,4,194.67,Mailchimp,VIP
2024-01-18,EM1657,Monthly_Newsletter_Mar,,Glow up this summer,1011,901,110,168,42,14,18.65,25.0,5,237.27,mailchimp,Lapsed_90d
26-Feb-2024,EM2499,,,Your skin will thank you,16787,15600,1187,1554,233,232,9.96,,,464.9,mailchimp,Lapsed_90d
06-01-2024,EM1077,Flash_Sale_48hr,win_back,New in: Vitamin C Serum,9641,8792,849,2099,98,57,23.87,4.67 ,17,1448.89,,Lapsed_90d
10-12-2024,EM3251,Abandoned_Cart_1 ,win_back,NULL,21091,20633,458,39,,248,0.19,28.21,2,140.55,Klaviyo,
14/08/2024,EM8219,,newsletter,Glow up this summer,,17343,263,1006,260,339,5.8,25.84,22,457.21,KLAVIYO,
22/04/2024,EM4751,VIP_Early_Access,NEWSLETTER,48hrs only: 20% off everything,22338,21029,1309,-248,30,379,1.18,12.1,4,130.65,mailchimp,New Subscribers
01-25-2024,EM4893,abandoned_cart_1,promotional,Your skin will thank you,20083,,1959,6551,750,151,36.15,11.45,15,479.58,Mailchimp,New Subscribers
2024/03/18,EM3311,Abandoned_Cart_2,,You left something behind...,21591,21322,269,-2777,,287,13.02,31.18,119,7109.51,Mailchimp,
29-Jul-2024,EM5545,Abandoned_Cart_2,win_back,Exclusive access just for you,11548,10423,1125,3760,1080,8,36.07,28.72,0,0.0,,All Subscribers
2024-06-19,EM1060,VIP_Early_Access,win_back,NULL,14378,13488,890,2464,665,184,18.27,26.99,14,417.15,Mailchimp,Lapsed_90d
,EM5528,VIP_Early_Access,,NULL,,4953,30,476,8,56,,1.68,0,0.0,Dotdigital,All Subscribers
22-Sep-2024,EM2307,,,Exclusive access just for you,5501,5461,40,455,63,64,8.33,13.85,5,242.87,KLAVIYO,Lapsed_90d
17-Dec-2024,EM8119,Monthly_Newsletter_Mar,win_back,Glow up this summer,10810,9924,886,1589,349,2,16.01,21.96,68,6001.16,mailchimp,
2024/03/14,EM6228,Win_Back_90Day,,You left something behind...,18221,17217,1004,4957,478,328,28.79 ,9.64,53,2094.37,klaviyo,Lapsed_90d
16-Apr-2024,EM2487,Abandoned_Cart_1,promotional,48hrs only: 20% off everything,537,506,31,,29,6,18.97,30.21,4,257.34,KLAVIYO,Cart Abandoners
2024/05/19,EM4587,abandoned_cart_1,,,8781,8063,718,1713,510,28,21.25,29.77,37,3317.36,Mailchimp,All Subscribers
28/09/2024,EM8999,abandoned_cart_1,newsletter,Your skin will thank you,22921,21108,-1813,3962,774,394,18.77,19.54,78,3328.95,Klaviyo,Cart Abandoners
06/06/2024,EM8297,Abandoned_Cart_2,NEWSLETTER,You left something behind...,19510,17301,2209,2075,695,189,11.99,33.49,95,7060.72,Klaviyo,
2024/09/09,EM3390,,Promotional,New in: Vitamin C Serum,,6033,277,1034,208,60,17.14,20.12,17,669.03,KLAVIYO,VIP
14/01/2024,EM3370,Win_Back_90Day,win_back,We miss you - here is 15% off,753,682,71,281,10,6,41.2,3.56,1,47.9,klaviyo,Cart Abandoners
16-Jun-2024,EM7325,,Promotional,You left something behind...,23747,23273,474,10387,2384,202,,22.95,28,1984.27,Mailchimp,
20/12/2024,EM3222,Flash_Sale_48hr,newsletter,Your skin will thank you,,20926,,5522,785,114,26.39,14.22,128,9041.14,KLAVIYO,
2024/06/19,EM8943,Abandoned_Cart_1 ,newsletter,48hrs only: 20% off everything,13766,12291,,2662,102,43,21.66,3.83,15,539.64,,
2024/03/13,EM6048,Welcome_Series_2,transactional,,22732,21290,1442,1576,339,403,7.4,,51,1444.25,klaviyo,Lapsed_90d
2024/10/01,EM5103,Win_Back_90Day,transactional,You left something behind...,-19599,18394,1205,5460,518,139,29.68,9.49,39,2993.56,Mailchimp,Lapsed_90d
,EM3970,VIP_Early_Access,promotional,We miss you - here is 15% off,13428,13118,310,,670,196,21.33,23.95,71,3434.77,KLAVIYO,lapsed_90d
08-12-2024,EM7582,Monthly_Newsletter_Jan,transactional,,6702,6193,509,1410,173,45,22.77,,30,1515.35,Dotdigital,lapsed_90d
2024-02-29,EM8694,Flash_Sale_48hr,win_back,Your skin will thank you,9615,8778,837,740,188,52,8.43,25.41,31,797.42,,VIP
01-11-2024,EM5255,Welcome_Series_1,transactional,New in: Vitamin C Serum,8037,7165,,1496,346,57,20.88,23.13,29,1464.1,KLAVIYO,Cart Abandoners
30-Mar-2024,EM5147,Welcome_Series_2,NEWSLETTER,We miss you - here is 15% off,21303,19126,2177,4992,463,,26.1,9.27,49,4161.93,klaviyo,
03/10/2024,EM4708,Welcome_Series_1,NEWSLETTER,48hrs only: 20% off everything,20071,19158,913,3838,279,63,20.03,7.27,12,,Mailchimp,VIP
2024/04/23,EM9226,Welcome_Series_2,transactional,New in: Vitamin C Serum,1208,1135,73,266,34,15,23.44,12.78,0,0.0,Klaviyo,New Subscribers
2024-01-09,EM7914,,NEWSLETTER,Glow up this summer,18608,17412,1196,3366,1127,343,19.33,33.48,44,3935.59,,lapsed_90d
11-Apr-2024,EM6976,Welcome_Series_2,Promotional,Glow up this summer,23242,22907,335,5072,1099,430,22.14,21.67,66,1741.83,klaviyo,Lapsed_90d
2024/12/31,EM3173,Welcome_Series_2,Promotional,New in: Vitamin C Serum,14127,13974,153,4931,292,173,35.29,5.92,42,3466.55,mailchimp,All Subscribers
2024/03/10,EM4260,Monthly_Newsletter_Mar,win_back,Your skin will thank you,2501,2292,,325,111,28,14.18,34.15,,61.53,KLAVIYO,All Subscribers
2024/05/21,EM9925,Abandoned_Cart_1 ,newsletter,Glow up this summer,4982,4778,204,526,147,87,11.01,27.95,4,358.96,klaviyo,lapsed_90d
21/01/2024,EM3138,Flash_Sale_48hr,NEWSLETTER,We miss you - here is 15% off,19865,18315,1550,1259,90,364,6.87,7.15,5,,Dotdigital,VIP
05-Jun-2024,EM7430,Monthly_Newsletter_Feb,promotional,You left something behind...,21471,20608,863,8440,42,63,40.95,0.5,7,359.43,Mailchimp,VIP
03-14-2024,EM4318,,newsletter,You left something behind...,6464,5967,497,2239,496,5,37.52,22.15,56,1072.46,mailchimp,VIP
29/06/2024,,Abandoned_Cart_2,Promotional,NULL,8034,7298,736,955,138,112,13.09,14.45,8,256.69,Dotdigital,Lapsed_90d
13-Feb-2024,EM2672,abandoned_cart_1,promotional,We miss you - here is 15% off,1260,1151,109,323,105,2,28.06,32.51 ,7,378.07,Mailchimp,VIP
2024-08-29,EM5905,Flash_Sale_48hr,transactional,,4201,4117,84,1245,170,60,30.24,13.65,21,,mailchimp,lapsed_90d
2024-09-22,,Abandoned_Cart_1,Promotional,48hrs only: 20% off everything,11767,11486,,2206,680,193,19.21,30.83,119,3631.82,Klaviyo,lapsed_90d
2024/06/12,EM8082,Monthly_Newsletter_Feb,transactional,NULL,11831,10973,858,2352,360,182,21.43,15.31,36,,KLAVIYO,Lapsed_90d
,EM5549,Welcome_Series_1,,48hrs only: 20% off everything,7528,6835,693,2522,589,16,36.9,23.35,87,5425.54,Dotdigital,New Subscribers
04-07-2024,EM3693,Monthly_Newsletter_Mar,,Your skin will thank you,13492,13448,44,918,89,77,6.83,9.69,15,432.96,mailchimp,
2024/08/24,EM5580,,newsletter,,23659,21476,,4012,282,197,18.68,7.03,43,2617.38,klaviyo,
2024-10-18,EM7561,Win_Back_90Day,,,505,446,59,13,3,0,2.91,23.08,1,33.55$,,All Subscribers
04-22-2024,EM4006,Welcome_Series_1,,48hrs only: 20% off everything,19289,17506,1783,4841,,246,27.65,7.33,38,1845.38,,New Subscribers
2024-11-20,EM8814,Welcome_Series_1,newsletter,,18777,17583,1194,2394,435,2,13.62,18.17,47,1632.09,mailchimp,Cart Abandoners
04-18-2024,EM4278,Welcome_Series_1,promotional,Exclusive access just for you,13660,12381,1279,1999,604,161,16.15,30.22,120,7590.04,KLAVIYO,Cart Abandoners
2024/01/13,EM4457,Monthly_Newsletter_Feb,,Exclusive access just for you,2989,2661,328,590,36,35,22.17,6.1,3,188.93,Dotdigital,All Subscribers
13-Aug-2024,EM5022,Flash_Sale_48hr,promotional,48hrs only: 20% off everything,9300,8999,301,819,37,119,9.1,4.52,0,0.0,klaviyo,VIP
2024-07-03,EM6467,Monthly_Newsletter_Feb,newsletter,Exclusive access just for you,18613,16603,2010,433,3,34,2.61,0.69,1,53.87,mailchimp,VIP
2024-01-20,EM1517,Abandoned_Cart_1,promotional,Exclusive access just for you,16519,14893,1626,5955,181,237,39.99,3.04,20,717.76,mailchimp,VIP
03-29-2024,EM4405,abandoned_cart_1,,NULL,12413,11403,1010,1601,501,72,,31.29,5,142.32,mailchimp,VIP
03-27-2024,EM9959,Monthly_Newsletter_Mar,promotional,Glow up this summer,12494,12131,363,5111,525,-93,42.13,10.27,94,2639.18,mailchimp,Lapsed_90d
2024/10/05,EM1140,Monthly_Newsletter_Jan,win_back,48hrs only: 20% off everything,21107,20260,847,5165,629,365,25.49,12.18,94,6894.07,,lapsed_90d
2024-09-22,EM8210,Welcome_Series_2,win_back,,21852,21143,709,1749,350,180,8.27,20.01,27,2105.54,Mailchimp,All Subscribers
26-May-2024,EM2797,abandoned_cart_1,Promotional,,13903,13231,672,619,200,107,4.68,32.31,38,2166.01,mailchimp,New Subscribers
2024-11-12,EM9319,abandoned_cart_1,newsletter,You left something behind...,14164,12888,1276,1625,447,75,12.61,27.51,87,2151.62,klaviyo,
2024/03/23,EM3481,Flash_Sale_48hr,win_back,,16591,14809,1782,1812,,222,12.24,6.95,17,923.45,KLAVIYO,Lapsed_90d
03-29-2024,EM7114,Abandoned_Cart_2,NEWSLETTER,NULL,14049,12998,1051,3344,528,109,25.73,15.79,47,,Dotdigital,Lapsed_90d
2024/12/28,EM5205,VIP_Early_Access,Promotional,New in: Vitamin C Serum,4996,4917,79,,198,33,23.08,17.44,4,239.73,,
2024/07/30,EM5579,Monthly_Newsletter_Feb,transactional,New in: Vitamin C Serum,10967,10523,444,3905,575,115,37.11,14.72,61,2098.29,Dotdigital,New Subscribers
,EM4945,VIP_Early_Access,newsletter,Glow up this summer,16912,15354,1558,1136,269,134,7.4,23.68,17,1388.82,KLAVIYO,Lapsed_90d
2024/02/26,EM4766,Welcome_Series_2,NEWSLETTER,48hrs only: 20% off everything,10906,10177,729,1485,311,203,14.59,20.94,1,69.39,Mailchimp,lapsed_90d
